model	term	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
RFS_univariable	module_z	-0.05985552721173629	0.9419006027612136	0.08565331887130535	-0.22773294735581973	0.10802189293234715	0.7963368953153087	1.1140721354253726	0.0	-0.6988115346898536	0.4846698190225758	1.0449258479558488
RFS_age_stage_MMR_chemo_adjusted	module_z	0.0035635736168372297	1.0035699306943602	0.08908890838207828	-0.17104747823402472	0.1781746254676992	0.8427815587416355	1.1950339863839345	0.0	0.04000019398098385	0.968092971643677	0.046782490271337754
RFS_age_stage_MMR_chemo_adjusted	age	0.012498444375931665	1.0125768763504492	0.007086435663898529	-0.0013907143040696405	0.02638760305593297	0.9986102522909304	1.026738838468207	0.0	1.763713800381245	0.07778017647445375	3.6844536816864495
RFS_age_stage_MMR_chemo_adjusted	mmrd	-0.6984964001429138	0.4973325310078109	0.34274440911049087	-1.370263097901938	-0.02672970238388972	0.2540401133388091	0.973624374308015	0.0	-2.037951259236263	0.04155480753997237	4.588840795502233
RFS_age_stage_MMR_chemo_adjusted	chemotherapy_yes	0.08248697554021063	1.085984528985115	0.21143925381254247	-0.33192634685039596	0.4969002979308172	0.717540170001728	1.643618638371399	0.0	0.39012138972710253	0.6964467867676316	0.5219149694826052
RFS_age_stage_MMR_chemo_adjusted	stage_1	12.535317401837828	277983.60103158414	1750.8671091581796	-3419.1011582639535	3444.171793067629	0.0	inf	0.0	0.007159491052330541	0.9942876014274991	0.00826487776915014
RFS_age_stage_MMR_chemo_adjusted	stage_2	14.379250564693704	1757232.286403999	1750.866828856292	-3417.256675719493	3446.015176848881	0.0	inf	0.0	0.008212646631775287	0.9934473297095352	0.009484613754794848
RFS_age_stage_MMR_chemo_adjusted	stage_3	15.062857332673378	3481094.565712065	1750.8668326955435	-3416.573076476308	3446.698791141655	0.0	inf	0.0	0.008603085655282753	0.993135815453733	0.009937069094295637
RFS_age_stage_MMR_chemo_adjusted	stage_4	15.069719427936638	3505064.3155378434	1750.8668622543742	-3416.5662723152886	3446.7057111711615	0.0	inf	0.0	0.008607004765932475	0.9931326885716234	0.009941611418058799
