module_symbol	assay_feature	alias_used	n_collapsed_features
CD4	CD4	False	1
PTPRC	PTPRC	False	1
CTLA4	CTLA4	False	1
PDCD1	PDCD1	False	1
HAVCR2	HAVCR2	False	1
VSIR	C10orf54	True	1
LAG3	LAG3	False	1
CD38	CD38	False	1
