model	n	events	hr_per_sd	ci95_low	ci95_high	p	concordance	module_ph_p_rank	global_ph_component_sum_p
RFS_univariable	519	145	0.9419006027612136	0.7963368953153087	1.1140721354253726	0.4846698190225758	0.523271695734398	0.5899311967045988	0.5899311967045988
RFS_age_stage_MMR_chemo_adjusted	518	145	1.0035699306943602	0.8427815587416354	1.1950339863839345	0.968092971643677	0.6444105102416934	0.6639106270467724	0.9392831467883542
