sample_id	CD4	PTPRC	CTLA4	PDCD1	HAVCR2	VSIR	LAG3	CD38
TCGA-DC-6154-01	549.654	236.296	7.2379	4.6833	106.865	308.249	5.1091	12.347
TCGA-DC-6155-01	275.198	60.5435	37.1517	9.6319	22.0158	543.516	119.711	8.2559
TCGA-DC-6156-01	2040.6	2164.32	12.8971	48.2446	610.939	827.323	102.699	34.3922
TCGA-DC-6157-01	440.78	319.34	41.979	17.991	73.4633	475.762	16.4918	163.918
TCGA-DC-6158-01	1141.3	1208.49	106.231	63.1029	300.079	736.806	61.741	46.3058
TCGA-DC-6160-01	782.62	756.287	34.233	14.7465	97.9592	457.143	56.3529	124.292
TCGA-DC-6681-01	634.58	344.154	13.15	17.2828	71.3856	754.808	20.2885	258.867
TCGA-DC-6682-01	340.834	233.26	23.0516	7.6839	80.1317	284.303	42.8101	7.6839
TCGA-DC-6683-01	528.389	332.69	22.145	12.875	158.62	301.79	4.635	4.635
TCGA-DT-5265-01	807.46	369.456	16.129	15.121	350.807	1068.04	43.8508	3.0242
TCGA-DY-A0XA-01	277.046	206.268	13.6501	4.55	59.1504	252.78	25.278	14.6612
TCGA-DY-A1DC-01	432.193	231.691	24.7533	12.8717	103.964	593.09	31.6843	14.3569
TCGA-DY-A1DD-01	239.903	46.5783	15.5261	11.5194	49.0825	481.309	23.5396	3.5059
TCGA-DY-A1DE-01	550.558	276.505	54.9087	25.9836	190.71	379.949	71.5774	27.9446
TCGA-DY-A1DF-01	106.527	36.33	3.6946	1.2315	38.7931	684.113	13.5468	4.3103
TCGA-DY-A1DG-01	136.832	151.054	11.28	3.9235	17.6557	365.866	15.694	102.501
TCGA-DY-A1H8-01	207.99	76.0938	36.7787	13.3164	33.6081	155.992	43.754	9.5117
TCGA-EF-5830-01	277.273	120.202	13.1313	36.8687	85.3535	283.333	46.9697	8.5859
TCGA-EF-5831-01	500.771	322.466	18.9686	10.9069	131.832	442.916	22.2881	16.1233
TCGA-EI-6506-01	965.401	771.332	49.0323	22.662	109.19	859.92	65.9258	96.0045
TCGA-EI-6507-01	980.617	1182.82	55.0661	108.811	413.216	866.52	282.819	54.185
TCGA-EI-6508-01	530.328	337.548	17.4594	16.0044	70.565	399.019	21.8242	91.6617
TCGA-EI-6509-01	334.709	60.5227	1.834	2.751	94.9106	513.526	7.7946	0.0
TCGA-EI-6510-01	351.536	344.71	26.8771	16.6382	34.5563	554.181	48.2082	63.1399
TCGA-EI-6511-01	1727.65	1381.36	54.7657	69.5103	305.845	832.438	265.824	251.079
TCGA-EI-6512-01	602.692	520.625	27.7898	14.7634	81.1984	535.823	39.0795	30.3951
TCGA-EI-6513-01	511.094	314.13	19.8521	21.0199	123.784	515.765	48.2678	19.8521
TCGA-EI-6514-01	653.441	227.458	4.8964	7.122	118.403	771.398	17.8049	37.3903
TCGA-EI-6881-01	426.129	359.097	24.6238	15.3899	41.7237	371.067	30.0958	30.0958
TCGA-EI-6882-01	576.901	906.804	27.4443	17.7244	101.772	551.744	82.9045	89.1938
TCGA-EI-6883-01	403.516	384.738	25.1698	43.1482	124.251	529.764	54.7343	12.7847
TCGA-EI-6884-01	966.443	1012.53	35.7942	27.2931	171.365	946.756	52.349	78.7472
TCGA-EI-6885-01	1086.02	914.92	103.847	28.777	193.306	450.11	75.0704	35.9712
TCGA-EI-6917-01	2017.98	1569.88	116.148	69.689	671.787	686.399	121.394	1242.41
TCGA-EI-7002-01	674.341	454.883	37.876	12.6253	110.286	505.013	27.4786	20.7947
TCGA-EI-7004-01	1635.93	1150.22	18.6147	25.974	338.095	1882.25	48.4848	32.0346
TCGA-F5-6464-01	1805.83	1222.06	48.6098	41.7954	497.91	1406.05	95.4025	51.3356
TCGA-F5-6465-01	1561.46	1363.53	80.8871	69.7046	260.553	864.039	139.409	102.134
TCGA-F5-6571-01	1588.46	1300.23	98.3505	39.3402	282.206	993.541	53.7917	76.2718
TCGA-F5-6702-01	1109.87	624.122	44.6097	15.696	330.442	634.035	50.8055	16.5221
TCGA-F5-6810-01	353.88	235.425	45.674	13.368	66.4686	591.534	52.358	14.482
TCGA-F5-6811-01	851.504	559.681	36.6541	10.3383	252.82	602.444	51.6917	42.2932
TCGA-F5-6812-01	899.442	748.902	45.1146	34.667	187.107	763.149	84.5305	53.6626
TCGA-F5-6813-01	747.051	417.65	22.2805	40.6291	167.322	518.567	62.9096	59.4146
TCGA-F5-6814-01	690.341	585.938	105.114	62.1449	235.44	356.179	225.497	54.3324
TCGA-F5-6861-01	268.963	131.169	20.8678	18.5492	79.4965	449.155	20.8678	1.3249
TCGA-F5-6863-01	143.866	43.8662	5.2045	5.948	26.0223	434.201	11.5242	1.1152
TCGA-F5-6864-01	753.596	469.341	34.8221	30.6586	236.563	595.382	51.0977	25.7381
TCGA-G5-6641-01	84.2279	39.2238	7.8448	4.1288	14.038	524.773	8.6705	9.4963
TCGA-3L-AA1B-01	704.545	562.863	62.8627	19.3424	86.0735	633.462	38.6847	58.5106
TCGA-4N-A93T-01	132.076	118.529	17.9003	12.0948	17.9003	536.043	29.0276	17.9003
TCGA-4T-AA8H-01	201.791	103.089	5.1179	4.3868	10.9669	524.219	43.8677	9.5047
TCGA-5M-AAT4-01	138.984	52.0654	6.8847	6.4544	28.3993	295.611	19.7935	2.5818
TCGA-5M-AAT6-01	1553.31	899.043	142.403	91.873	505.302	639.174	297.931	118.122
TCGA-5M-AATE-01	278.711	214.869	15.7891	8.9243	46.6807	399.532	8.9243	10.2972
TCGA-A6-2671-01	634.172	336.9949	24.0475	22.4979	193.6875	793.7816	89.6972	13.2825
TCGA-A6-2672-01	1320.1345	1414.354	137.1418	153.8521	480.7607	1086.3369	303.7441	86.9502
TCGA-A6-2674-01	1328.791	2284.6078	99.904	41.1787	528.1459	1580.2017	129.4032	111.1179
TCGA-A6-2675-01	1407.42	892.245	38.3007	32.9063	360.89	974.241	63.1153	116.521
TCGA-A6-2676-01	1621.0552	1282.0664	92.3849	94.5614	492.0079	589.4128	258.6816	44.481
TCGA-A6-2677-01	220.7585	223.0832	4.3522	4.4249	54.2989	312.4103	5.2533	157.7937
TCGA-A6-2678-01	663.9576	608.5304	37.0776	20.4973	317.8191	522.5149	71.6025	48.1037
TCGA-A6-2679-01	281.6465	198.4216	12.7848	152.7995	30.1406	1618.1546	30.5714	112.5154
TCGA-A6-2680-01	787.0771	300.9606	29.8824	31.4322	119.1831	824.0592	68.5466	29.8034
TCGA-A6-2681-01	729.6547	331.9344	15.1506	24.7642	177.55	1117.7606	55.215	19.6852
TCGA-A6-2682-01	645.477	438.554	15.442	11.8389	176.554	709.819	33.9725	17.501
TCGA-A6-2683-01	216.8284	22.8242	8.4948	11.7584	41.1383	1616.0763	13.565	2.7096
TCGA-A6-2684-01	1444.42	946.41	40.8055	20.4028	324.589	1088.3	105.723	31.5316
TCGA-A6-2685-01	1603.33	1014.05	31.9137	21.5755	627.037	1473.42	48.5448	50.7922
TCGA-A6-2686-01	1843.98	1938.08	200.39	114.091	711.848	1542.66	395.417	162.847
TCGA-A6-3807-01	635.0481	714.4277	35.3236	46.1015	254.5794	743.2935	54.2731	32.6081
TCGA-A6-3808-01	961.6392	1014.4327	133.8353	37.2715	228.5694	987.9482	59.5518	29.7484
TCGA-A6-3809-01	1306.705	1372.0726	120.6791	140.2007	568.3657	429.8653	212.3349	130.846
TCGA-A6-3810-01	915.1877	741.7624	26.7952	17.7575	362.594	819.809	83.712	46.5981
TCGA-A6-4105-01	1128.28	947.328	122.517	124.567	396.258	648.468	240.933	87.146
TCGA-A6-4107-01	886.2668	480.7635	27.2779	15.2646	197.3859	893.3772	48.1667	76.3061
TCGA-A6-5656-01	259.956	85.177	22.1239	6.0841	43.6947	532.633	18.2522	1.6593
TCGA-A6-5657-01	576.017	976.579	57.2666	69.1464	110.269	696.947	49.956	53.9159
TCGA-A6-5659-01	451.488	286.226	16.1854	7.2408	68.5751	330.097	16.1854	12.352
TCGA-A6-5660-01	555.412	356.529	18.0412	6.8729	149.914	396.478	9.8797	10.3093
TCGA-A6-5661-01	372.645	366.912	12.285	15.561	89.2711	318.591	32.76	9.009
TCGA-A6-5662-01	230.736	150.216	3.0303	56.2771	83.5498	1300.87	6.9264	2.1645
TCGA-A6-5664-01	1248.8	1040.51	191.01	53.7069	238.179	1124.58	58.3771	38.7624
TCGA-A6-5665-01	301.158	503.338	52.5385	48.7858	157.615	842.962	91.0042	49.2548
TCGA-A6-5666-01	116.149	114.621	4.0754	11.2073	24.4524	359.144	3.0565	1.0188
TCGA-A6-5667-01	428.193	249.285	13.9905	15.6863	99.629	315.421	32.2205	33.4923
TCGA-A6-6137-01	1080.88	876.889	63.2283	19.3839	89.535	953.04	55.3825	80.7661
TCGA-A6-6138-01	2065.67	1408.51	128.17	85.1449	424.366	942.029	387.681	135.417
TCGA-A6-6140-01	316.064	283.413	20.4615	11.7545	44.8411	375.707	30.4745	30.4745
TCGA-A6-6141-01	845.148	849.454	49.2081	103.952	148.239	695.064	145.164	86.1141
TCGA-A6-6142-01	649.628	303.783	13.4365	8.763	171.17	1251.35	23.3679	87.6296
TCGA-A6-6648-01	377.637	404.574	13.723	7.6239	55.1461	372.554	28.4625	51.8424
TCGA-A6-6649-01	1059.4	860.4	44.0086	19.772	87.0605	1421.99	61.2294	60.2727
TCGA-A6-6650-01	383.503	218.535	9.3159	10.8685	36.4871	341.194	15.9146	42.3096
TCGA-A6-6651-01	1836.46	1661.82	63.2395	46.9061	445.189	1851.53	138.624	121.453
TCGA-A6-6652-01	152.699	93.0233	6.5818	5.2655	28.0825	444.493	6.5818	1.3164
TCGA-A6-6653-01	511.164	268.954	26.2394	14.6335	126.656	997.603	61.5618	4.5414
TCGA-A6-6654-01	2692.82	1767.38	137.646	52.3056	619.867	1355.36	141.776	105.988
TCGA-A6-6780-01	2027.19	1547.21	178.942	168.067	756.797	711.32	308.453	157.192
TCGA-A6-6781-01	2275.94	1517.46	44.4763	68.8666	522.716	2562.89	147.776	54.0411
TCGA-A6-6782-01	737.213	787.919	20.2822	26.455	230.6	1081.57	64.3739	88.6243
TCGA-A6-A565-01	1386.32	2811.09	110.536	64.695	225.139	1612.94	81.3309	134.566
TCGA-A6-A566-01	3041.65	1374.29	129.697	35.542	772.572	1623.71	90.4139	18.7063
TCGA-A6-A567-01	244.117	139.643	13.4471	5.172	44.4789	463.408	11.3783	6.2064
TCGA-A6-A56B-01	373.365	149.822	9.5125	2.3781	96.3139	208.086	15.4578	3.5672
