time_months	survival	ci95_low	ci95_high	group
0.0	1.0	1.0	1.0	High
0.197258112	1.0	1.0	1.0	High
0.526021633	1.0	1.0	1.0	High
0.920537857	1.0	1.0	1.0	High
0.953414209	0.9964285714285716	0.9749206112089657	0.9994961430890986	High
0.986290561	0.9964285714285716	0.9749206112089657	0.9994961430890986	High
1.019166913	0.9964285714285716	0.9749206112089657	0.9994961430890986	High
1.413683138	0.9926966292134832	0.9711049109097531	0.9981691408588756	High
1.545188546	0.9926966292134832	0.9711049109097531	0.9981691408588756	High
2.005457474	0.9814585541657833	0.956021694657088	0.9922420949658483	High
2.498602755	0.9776981765636151	0.9510264344104706	0.9899204826189962	High
3.024624388	0.973937798961447	0.9461030183753893	0.9874917761141183	High
3.189006148	0.9701774213592796	0.9412451210156033	0.9849756147189678	High
4.010914949	0.9664170437571122	0.936445942711817	0.982386163375871	High
5.128710918	0.962656666154944	0.9316992657478117	0.9797340445599834	High
5.227339974	0.9588962885527761	0.9269996725513215	0.9770274715885978	High
5.786237959	0.9551359109506088	0.9223425139015073	0.9742729535817167	High
5.983496071	0.9551359109506088	0.9223425139015073	0.9742729535817167	High
6.049248775	0.9551359109506088	0.9223425139015073	0.9742729535817167	High
6.180754184	0.9513305885962239	0.9176477602409996	0.9714496005175219	High
7.035539337	0.9475252662418391	0.9129913451287596	0.9685867374451278	High
7.068415689	0.9475252662418391	0.9129913451287596	0.9685867374451278	High
7.528684617	0.9475252662418391	0.9129913451287596	0.9685867374451278	High
7.956077194	0.9436891315606976	0.9083194098557611	0.9656695507995758	High
8.021829898	0.9436891315606976	0.9083194098557611	0.9656695507995758	High
8.05470625	0.9436891315606976	0.9083194098557611	0.9656695507995758	High
8.350593418	0.9436891315606976	0.9083194098557611	0.9656695507995758	High
8.38346977	0.9436891315606976	0.9083194098557611	0.9656695507995758	High
8.449222474	0.9436891315606976	0.9083194098557611	0.9656695507995758	High
8.613604235	0.9397734090231014	0.9035525230932611	0.962670620429525	High
9.040996811	0.9397734090231014	0.9035525230932611	0.962670620429525	High
9.073873163	0.9397734090231014	0.9035525230932611	0.962670620429525	High
9.435513036	0.9397734090231014	0.9035525230932611	0.962670620429525	High
9.534142092	0.9357913183069013	0.8987145129080184	0.9595987568914135	High
9.632771148	0.9357913183069013	0.8987145129080184	0.9595987568914135	High
9.961534668	0.931792210109008	0.8938851880415177	0.9564853206969118	High
10.06016372	0.9237939937132226	0.8843237244832179	0.9501736111102884	High
10.12591643	0.9237939937132226	0.8843237244832179	0.9501736111102884	High
10.25742184	0.9237939937132226	0.8843237244832179	0.9501736111102884	High
10.78344347	0.9237939937132226	0.8843237244832179	0.9501736111102884	High
10.88207253	0.9197244166484068	0.8794787232492962	0.9469339443952324	High
10.98070158	0.9115852625187743	0.8698730306379369	0.9403823615721488	High
11.01357793	0.9075156854539587	0.8651083303825516	0.937073374911638	High
11.07933064	0.9075156854539587	0.8651083303825516	0.937073374911638	High
11.11220699	0.9034277769609226	0.8603398848403723	0.9337316869106953	High
11.37521781	0.9034277769609226	0.8603398848403723	0.9337316869106953	High
11.63822862	0.9034277769609226	0.8603398848403723	0.9337316869106953	High
11.9998685	0.9034277769609226	0.8603398848403723	0.9337316869106953	High
12.03274485	0.9034277769609226	0.8603398848403723	0.9337316869106953	High
12.09849755	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.16425026	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.39438472	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.46013742	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.49301378	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.59164283	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.75602459	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.9532827	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
12.98615906	0.8992061518349376	0.8553978167783045	0.9302807970447203	High
13.01903541	0.8948197803625715	0.8502383171801543	0.9266996872848021	High
13.24916987	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
13.34779893	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
13.41355163	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
13.6436861	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
13.77519151	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
14.00532597	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
14.03820232	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
14.30121314	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
14.49847125	0.8903679406592748	0.8450109171485828	0.9230532645303452	High
14.5313476	0.885656999174305	0.8394292597650422	0.9192138999576811	High
14.86011112	0.885656999174305	0.8394292597650422	0.9192138999576811	High
14.99161653	0.885656999174305	0.8394292597650422	0.9192138999576811	High
15.02449288	0.885656999174305	0.8394292597650422	0.9192138999576811	High
15.12312194	0.885656999174305	0.8394292597650422	0.9192138999576811	High
15.58339087	0.885656999174305	0.8394292597650422	0.9192138999576811	High
15.61626722	0.885656999174305	0.8394292597650422	0.9192138999576811	High
15.64914357	0.885656999174305	0.8394292597650422	0.9192138999576811	High
15.84640168	0.885656999174305	0.8394292597650422	0.9192138999576811	High
15.94503074	0.885656999174305	0.8394292597650422	0.9192138999576811	High
16.0436598	0.885656999174305	0.8394292597650422	0.9192138999576811	High
16.07653615	0.885656999174305	0.8394292597650422	0.9192138999576811	High
16.14228885	0.885656999174305	0.8394292597650422	0.9192138999576811	High
16.24091791	0.8805670164204299	0.8333138459092798	0.9151044758529059	High
16.30667061	0.8754770336665539	0.8272449250343226	0.9109652843431695	High
17.02995036	0.8754770336665539	0.8272449250343226	0.9109652843431695	High
17.22720847	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
17.45734293	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
17.55597199	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
17.7532301	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
17.95048821	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
17.98336457	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
18.04911727	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
19.00253148	0.8702658608471107	0.8210375934917158	0.9067194799153263	High
19.03540783	0.8648266992168164	0.8145328244859417	0.9022978151139973	High
19.06828418	0.8648266992168164	0.8145328244859417	0.9022978151139973	High
19.331295	0.8648266992168164	0.8145328244859417	0.9022978151139973	High
19.66005852	0.8591370498798636	0.8077001018468862	0.897684660034407	High
19.95594569	0.8591370498798636	0.8077001018468862	0.897684660034407	High
19.98882204	0.8591370498798636	0.8077001018468862	0.897684660034407	High
20.12032745	0.8591370498798636	0.8077001018468862	0.897684660034407	High
20.18608015	0.8591370498798636	0.8077001018468862	0.897684660034407	High
20.28470921	0.8591370498798636	0.8077001018468862	0.897684660034407	High
20.41621462	0.8591370498798636	0.8077001018468862	0.897684660034407	High
20.54772003	0.8591370498798636	0.8077001018468862	0.897684660034407	High
21.00798895	0.8591370498798636	0.8077001018468862	0.897684660034407	High
21.13949436	0.8530438793133392	0.8003089127617784	0.8927830946149428	High
21.36962883	0.8530438793133392	0.8003089127617784	0.8927830946149428	High
21.43538153	0.8530438793133392	0.8003089127617784	0.8927830946149428	High
21.76414505	0.8530438793133392	0.8003089127617784	0.8927830946149428	High
21.89565046	0.8530438793133392	0.8003089127617784	0.8927830946149428	High
