model	n	events	hr_per_sd	ci95_low	ci95_high	p	concordance	module_ph_p_rank	global_ph_min_p_rank	score_variant	effect_scale
OS_primary_log2_then_gene_z_mean	566	115	1.008398704339586	0.8413479862336684	1.2086175560552657	0.9278827015071155	0.5030927287690143	0.8282477043532529	0.8282477043532529	primary_log2_then_gene_z_mean	per 1 cohort SD
OS_raw_RSEM_mean	566	115	1.113291386839054	0.9375909475953511	1.3219173192624896	0.2207154293413387	0.5020043006185457	0.4684912530146801	0.4684912530146801	raw_RSEM_mean	per 1 cohort SD
OS_log2_RSEM_mean	566	115	1.0028724814651782	0.8364337857737035	1.2024301638530772	0.9752865686354115	0.5017653773660039	0.8557436455324462	0.8557436455324462	log2_RSEM_mean	per 1 cohort SD
OS_raw_RSEM_gene_z_mean	566	115	1.1390993862805479	0.9596275931249667	1.3521364132510398	0.13652469869058706	0.5013406249170406	0.7679960998469189	0.7679960998469189	raw_RSEM_gene_z_mean	per 1 cohort SD
