term	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
module_z	0.008363631463275342	1.008398704339586	0.0924065751965882	-0.17274992785672977	0.18947719078328046	0.8413479862336684	1.2086175560552657	0.0	0.09050905139036189	0.9278827015071155	0.10798565661415432
module_z	0.00609766946220865	1.0061162980931406	0.09056769655982333	-0.17141175395779723	0.18360709288221455	0.8424746097897627	1.2015436352927653	0.0	0.06732720046800475	0.9463212231704505	0.0795981138466561
age	0.030872026228956514	1.03135350924292	0.008061435701781857	0.0150719025897787	0.046672149868134324	1.0151860564981043	1.0477784384636808	0.0	3.8295940538399043	0.0001283548196717704	12.927574910001423
module_z	0.01103440368403831	1.0110955072567176	0.09383624112395357	-0.172881249363527	0.19495005673160365	0.8412375064027231	1.2152502914026155	0.0	0.11759213233469513	0.9063908391800528	0.1417948148590043
age	0.04301267669536339	1.0439511286171639	0.008500839557476044	0.026351337324356933	0.05967401606636985	1.0267016037082695	1.0614904613032234	0.0	5.05981513996885	4.1966314146360363e-07	21.184264905688174
stage_num	0.8814616842514538	2.41442625727396	0.11354147804868377	0.6589244765245885	1.103998891978319	1.9327125384614987	3.016203411426293	0.0	7.7633451616113796	8.27180937461728e-15	46.78071848444956
