	chisq	df	p
module_z	0.0253956479958257	1	0.873385156591577
age	1.87244402491977	1	0.171195424618274
stage_factor	1.57440922402936	3	0.665206175039232
GLOBAL	2.9914522845329	5	0.701303722789893
