k	reps_valid	observed_rho	observed_percentile	empirical_p_one_sided_upper	empirical_p_lower_tail	empirical_p_two_sided_equal_tail
25	10000	0.767218151142001	42.14	0.579142085791421	0.421457854214579	0.842915708429157
50	10000	0.767218151142001	50.78	0.492650734926507	0.507849215078492	0.985301469853015
100	10000	0.767218151142001	61.3	0.387661233876612	0.613038696130387	0.775322467753225
