"panel","n","data_min","data_max","old_visible_min","old_visible_max","old_clipped_n","new_visible_min","new_visible_max","new_clipped_n"
"B",52,-2.27302247301033,0.718571262170629,-1.93,0.49,4,-2.55124069038216,1.59510822657865,0
"C",170,-3.26969853001176,0.757106732704638,-2.4585,0.5885,9,-3.63815121155031,1.81011630890498,0
