tissue,n_cells,candidates,rate,wilson95_lo,wilson95_hi
N,12657,14,0.0011061072924073636,0.0006590226749571857,0.0018559332957228253
P,20466,0,0.0,0.0,0.00018766431720646258
T,10694,2,0.0001870207593042828,5.128933618362596e-05,0.0006817051516182665
