"replicate","mean_expression_log_cp10k","cell_detection_rate","tnkilc_vs_other_log2_cpm_ratio","standardized_distance_to_frozen","rho"
9237,0.187370269022127,0.138009667600903,4.03192484574302,0.214696198066071,0.795019012364332
3562,0.189617261079066,0.141258440200427,4.00578188016188,0.251750377137829,0.736093273903956
6163,0.188317030994974,0.135937275268123,3.99526852105513,0.252694461913102,0.732416710735061
301,0.187844908039579,0.139858056917174,4.05165627265041,0.298408890619998,0.763591951852132
4813,0.190584582112747,0.139733178879771,3.96049210535181,0.327875036279848,0.705925310367404
4687,0.191580576826332,0.137009185581397,4.06224544130955,0.328636495026659,0.809624537281861
3707,0.1867327322856,0.141343473883483,4.0288533263273,0.35410352041196,0.768678703633754
2993,0.191973212873124,0.139574287369145,3.95547948906628,0.377080644435002,0.744252222306162
1198,0.188808528829968,0.139913450287851,4.0740524427517,0.386393853326719,0.812646370023419
8650,0.184620012466634,0.136454765967868,4.01148660948783,0.410583117150247,0.738208556823047
1157,0.185574059869229,0.141729769757941,4.04364623207119,0.459175866685032,0.756541008788497
3434,0.188899740003999,0.133310949228574,4.04649963829499,0.471206268233408,0.780010576414595
2888,0.183831449255895,0.140942600806216,4.01136034536394,0.488357548022213,0.732467074614087
4662,0.190708465916319,0.139813839401985,3.92870994624047,0.504431135807506,0.79542192339654
4995,0.184855440663143,0.141836669245212,3.97935783823996,0.506161213351809,0.771650172496286
8961,0.186662576182826,0.139051937601797,3.93522304352646,0.508274677187014,0.801062677847448
11,0.193251524256889,0.14369672032373,4.01622716236325,0.512709523485686,0.732517438493113
3199,0.192847226362227,0.143864358156042,4.0350233076114,0.528197805464356,0.764347410037521
1122,0.185180799061971,0.142746286700538,3.9849395856412,0.52901659998053,0.780816398479011
4618,0.186947958582451,0.132887724440333,3.98504800546426,0.530183069062951,0.735337815718567
3201,0.190643771694891,0.132546131987825,4.05102060673568,0.537632310695032,0.697514542570069
8284,0.184373272550913,0.137867782826889,3.94955064506129,0.540377219790443,0.683916295233059
6433,0.189639993476811,0.131792004695803,3.99487280825895,0.56105186699359,0.783384956309335
3884,0.19438586180802,0.134214735802776,3.95957550588972,0.562909026896252,0.711566064818312
3420,0.186124163623818,0.142912466812568,3.95953932292879,0.563841252976295,0.744554405580318
5380,0.1836709928714,0.134601517583994,4.03806310395617,0.565399355137975,0.621112538087684
1807,0.184743667554663,0.140474672596025,4.08041398020847,0.56771256410484,0.75800156128025
1743,0.192323995503857,0.132199194560954,4.04430318780103,0.574310991840846,0.76036866359447
868,0.188764783835582,0.137002382886753,3.91511613191623,0.580463483599038,0.699881644884289
7530,0.1887881432488,0.145172419154833,4.01712603511056,0.583928716049578,0.802271410944071
5960,0.185263061163259,0.142669027525646,3.95821637976473,0.586885572626076,0.756490644909471
5056,0.183862551395834,0.143163194700895,4.01276494476844,0.59528918953982,0.799299942081539
5021,0.182531108741023,0.140592747938783,3.97624652584386,0.600361917228767,0.777996021253557
4792,0.189883958269942,0.145232185686353,3.98718854542323,0.601256836716601,0.776384377124726
7389,0.182307113850039,0.137917345316442,4.05844885498004,0.605953495529144,0.826194253481403
442,0.184094935342731,0.143567955032245,4.02433330859233,0.61133364320594,0.807761073757901
6877,0.182471274002092,0.136877504849349,4.06133634547374,0.614247651470221,0.733373624436554
2170,0.183394065954946,0.133867798375905,3.98643446945936,0.618333068829679,0.780766034599985
9104,0.18746409690158,0.145266685066336,4.03077326912449,0.620203479195649,0.791543904711541
1449,0.190507054915643,0.145494089430167,3.98841421325909,0.622497033828368,0.797184659162449
3150,0.190768220391598,0.138258451862189,3.90365829247371,0.632769644124119,0.808365440306212
5837,0.183108281733073,0.136534940583321,4.07953268384436,0.639194972906614,0.752461534587394
9336,0.191750829139751,0.144489720156579,4.07642647162318,0.650206356092434,0.771096169827
7535,0.182935182610137,0.140229289682061,4.08252505942648,0.661403402896373,0.6991261866989
1550,0.189383064486701,0.146059684899184,3.99348832242317,0.663167511323801,0.73916547052454
8202,0.182676759117789,0.134732712409281,3.96190515680449,0.668168821581363,0.761375941174989
3411,0.181772398298717,0.134675861318323,3.9928584056202,0.669061091902626,0.729193422477399
7688,0.182509309688312,0.1348512736588,4.06446077652555,0.675120381752505,0.833849563093349
666,0.18573240106447,0.139531041667476,4.11886682718255,0.689101605331024,0.841756692100426
2163,0.185261085490042,0.143720043848226,3.94418427836179,0.689179074657607,0.735740726750774
791,0.187206960025688,0.144278350715838,3.93712169717528,0.693264445560645,0.757548286369016
1321,0.187726063083067,0.132232236220656,4.08934198715995,0.695657984802961,0.844023066656594
9815,0.180330034526381,0.137101507865859,3.99479345548705,0.701495023206702,0.795019012364332
7637,0.188230153595811,0.139653976077838,4.13430740645248,0.720454074026197,0.793306640477449
6910,0.179841163456164,0.13837944264551,4.0127808625334,0.721064921391282,0.753418448288887
4706,0.191277270181489,0.144603422338494,3.92763654921248,0.729140966457229,0.749238246329732
8969,0.183670306061948,0.13440132399874,3.92893417201724,0.737227020857193,0.740626023016293
556,0.180038730338601,0.13970110903359,4.0430863197222,0.737432689220703,0.738258920702073
400,0.194886516019841,0.141607321254339,3.91046018039875,0.74300393539032,0.832389010601597
6500,0.196522773140177,0.137945527908541,4.11192620798775,0.743011512549669,0.717005363753116
4863,0.182039264214081,0.143685058561483,4.04450536602348,0.745573262174169,0.838634131600816
6023,0.186664175826426,0.146338109472849,3.966019095767,0.764293199814674,0.793256276598424
8718,0.18959511362977,0.13853055964797,4.14653224009295,0.77245704605594,0.838986678753998
5818,0.195913821924184,0.137525704467621,3.90193165439259,0.773398221573633,0.686333761426305
4271,0.181808918377079,0.143574271820129,4.06097202135073,0.78115430930527,0.799551761476669
1936,0.183133643384337,0.136083533202981,3.91048619661027,0.787337625387151,0.809624537281861
5654,0.179608286652968,0.139803149453258,3.97017412637676,0.787572144251121,0.831381733021077
4490,0.184121346666501,0.132982476258596,3.92534047312786,0.793569770773808,0.74128075344363
776,0.183834276564279,0.144652498921287,3.94437257126111,0.793973293159599,0.75986502480421
7121,0.182360860588653,0.136227847510797,3.91588455506179,0.797735863644157,0.775226007907129
7367,0.191868935959711,0.145368725486004,3.92161120810151,0.806016379120152,0.804336329984135
3322,0.180903841847436,0.132586948155692,4.00223188662863,0.808704947430434,0.802523230339201
2676,0.18343094440732,0.140914904120878,3.90426830604493,0.809570806320267,0.746367505225253
4977,0.181680486774307,0.144915374478622,4.00926728353494,0.810587752541259,0.761980307723301
1074,0.188703508852004,0.138899362879056,3.87260135027833,0.815119595633299,0.755281911812848
6169,0.194590179462728,0.14169915763204,4.13176195122285,0.815200307027205,0.773009997229987
8823,0.181384866536602,0.142874566085263,3.94693504282195,0.815230907570842,0.75825338067538
5191,0.187362649375071,0.147528581035642,4.04391073183704,0.817751936064995,0.84095087003601
8449,0.182788560062378,0.137470797003705,4.12284444179473,0.817844851988104,0.721941023897661
9196,0.183528779991894,0.139823071630431,3.89712529275153,0.818843587434759,0.822517690312508
5359,0.181384069072688,0.132041760770609,3.98886601879919,0.820264620580069,0.826043161844325
8951,0.179419026948188,0.140846391267672,3.96897419865738,0.820735708598116,0.790738082647125
5296,0.192102171251535,0.140322583780044,3.87612607711138,0.821560991322526,0.760066480320314
4353,0.186176342607027,0.138035906565961,3.87813385744179,0.822256636049666,0.773916547052454
8921,0.196119548922312,0.1421491072921,3.90461248062386,0.831296612306913,0.834000654730427
8732,0.184262579582927,0.143914892459116,3.91637407384742,0.834132463607674,0.841756692100426
1238,0.183260424946256,0.140511115603049,3.89836075527848,0.834875905926436,0.749590793482914
4764,0.179133944268003,0.139225892221993,4.06666440904818,0.83544271015974,0.780413487446803
2896,0.180816427606841,0.144523733629801,4.00612120778636,0.836174363537334,0.704263302359548
973,0.182616013320437,0.139338622590388,4.12551116549644,0.838782437662323,0.759562841530055
673,0.18915600962973,0.148128675884642,4.03737417096329,0.841043213252482,0.799803580871799
6019,0.192789527374136,0.147833730481125,3.98715052134232,0.841370405318821,0.705824582609353
1515,0.188423565813365,0.148038297227222,3.97943513747143,0.848611267100254,0.769333434061091
3103,0.181987273682189,0.145634030577141,4.03939773244414,0.852023922788333,0.780010576414595
4241,0.187527973080521,0.148083000649171,3.98666850414607,0.854288868636862,0.700083100400393
5833,0.179013431327283,0.142456686271385,4.00331650339595,0.856392066102914,0.827805897610234
9109,0.187085177558996,0.147957636705008,4.04415887558631,0.856982012928981,0.722998665357206
2921,0.182364424863692,0.139982449047817,3.89881219575945,0.862738722415428,0.838634131600816
6027,0.178124306764224,0.140765730745459,4.0177739957976,0.869186115863307,0.67716753544358
5233,0.180727433473022,0.135944563869528,3.91868383568888,0.876181511811647,0.778197476769661
9402,0.187063851574267,0.138306070724701,4.16084701081567,0.878573064159494,0.772204175165571
4950,0.185979448154087,0.145455702796102,3.91288346413258,0.879658774300063,0.721638840623505
8845,0.180690556586985,0.134544666493036,3.92817516635843,0.880934336350871,0.818538943869457
9820,0.179042690588562,0.137016474182802,3.94214768727265,0.885408942922806,0.816423660950366
1592,0.178240433864003,0.141190413253981,4.04174503984201,0.885822247729982,0.797889753468812
5759,0.18928190927472,0.148637420262701,3.98241987482917,0.888746251248809,0.791543904711541
7223,0.180156181481316,0.144796327322343,4.02487353807559,0.889353935439469,0.773866183173428
8055,0.188848250719428,0.140359026787068,4.16364176818547,0.890712878630386,0.748583515902395
9801,0.194321004986893,0.143199151801159,3.88661111962352,0.893779360456337,0.697413814812017
2893,0.180398656978425,0.1400475605537,3.9152821807675,0.895404121779196,0.793961370904787
8614,0.182247094575254,0.136567010429503,4.13355274220513,0.899463447598809,0.794162826420891
9191,0.179815942170766,0.144681653326906,4.02440175430569,0.902617496127037,0.848052176978671
9847,0.196028291783707,0.146674356950993,3.9507392669046,0.903300984518209,0.766210873561482
7990,0.177873755041417,0.140242895071351,3.97318108073904,0.906230081593486,0.842915061318023
8571,0.180703264900026,0.138908109200742,3.90533553690507,0.906481455335327,0.747676966079928
246,0.178051564150462,0.136257973729937,3.96495992410024,0.909721955969371,0.683664475837929
3721,0.185368602683384,0.142799736444173,4.14572266937583,0.9149655285347,0.763138676940898
1209,0.179277289628068,0.144367757559737,4.00818463348206,0.916755121525232,0.811790184079978
3138,0.182184387728753,0.146599527309904,4.05115731920127,0.917986001357216,0.784996600438166
4326,0.17780136657979,0.135729307174705,3.96953834842631,0.928427402940007,0.733373624436554
5732,0.178413636279457,0.142473693007996,3.9695926540003,0.928652421676815,0.716854272116038
9058,0.183605335071305,0.140531523686983,3.87520719762292,0.932250971398716,0.778197476769661
6448,0.182139047560637,0.144331314552713,3.91710039100704,0.933592422421556,0.830021908287376
9916,0.179274345835486,0.132119019945501,3.98984430780325,0.933620457062207,0.835763390496336
8949,0.189399020208167,0.140329386474688,4.17261225337093,0.938552720567513,0.795975926065826
6937,0.180680222005091,0.145156384231742,4.07259922331491,0.942532969157065,0.846591624486918
4360,0.184808026972122,0.144766687009963,3.89515714920879,0.943360722081875,0.778046385132583
274,0.194306433715681,0.148316235894127,4.0622057746432,0.943830085647014,0.827453350457052
5502,0.195023328710854,0.147808463329589,4.07291330387751,0.94571536282111,0.729596333509607
2272,0.183530103035267,0.143642298766574,4.13349086006943,0.946317762010319,0.833547379819194
391,0.188193445581664,0.149036835619687,4.05705191176679,0.947287746066067,0.803883055072902
5552,0.176963375111243,0.139237068077481,3.98090365738422,0.948236813432565,0.774571277479791
8229,0.177905362478649,0.133795398268617,4.03470960235427,0.949162220975296,0.797436478557578
5037,0.199300995192868,0.14133764300236,3.90471045482555,0.95127346577813,0.741482208959734
3668,0.181404698724308,0.134312403061601,3.90037256582993,0.952099625630177,0.840245775729647
138,0.181694355368145,0.146896416340461,3.97905580595598,0.952461463307025,0.713580619979351
8423,0.178529299910537,0.143721501568507,3.97469690988746,0.959068208035142,0.724610309486037
4712,0.197395862684764,0.144876016031036,4.11249861252523,0.960941170815865,0.786054241897711
2387,0.186906995036107,0.130889675841882,3.89042015187521,0.968756651631266,0.782982045277127
7550,0.191255166875158,0.137026192318008,3.84674565959807,0.969249009434652,0.750195160031226
5896,0.183999394902829,0.134239031140792,3.87372495225631,0.970651276630175,0.716753544357987
1838,0.181066732911387,0.146358031650023,3.95963529826502,0.977047442829804,0.757145375336808
8386,0.180565914542719,0.135249231295505,4.12777960319186,0.977538499889305,0.790939538163229
9319,0.177506556241736,0.134539321518672,3.96364247682843,0.985490405654384,0.836669940318803
6880,0.179458922981077,0.14413112096746,3.94100902451393,0.985765532053785,0.741331117322656
2672,0.177312832615366,0.136920750551018,4.07905554058649,0.986881820579307,0.833497015940168
6360,0.178493458137789,0.14470157550408,4.03670412286776,0.988377533616943,0.75200825967616
8261,0.176957350106224,0.138553883172466,4.07340816527858,0.991448989602015,0.772959633350961
7980,0.180611115942965,0.129615628316314,4.01068747644619,0.991678990403818,0.780413487446803
8629,0.176163435867895,0.137092275637412,4.00043543714506,0.992308817383732,0.759462113772003
8991,0.179476397016427,0.145847829551683,3.98462241892428,0.993773487980939,0.820503135151469
4375,0.183595801967018,0.148748207004054,4.03303955715812,0.995851826888144,0.760973030142782
314,0.183730365856915,0.140806061006566,3.8622203111543,0.997443704692757,0.778499660043817
8896,0.176289763392338,0.140687013850286,4.00009445069395,0.998092165707104,0.820503135151469
2047,0.180808936897456,0.129982487920358,3.96235587554168,1.00239690672989,0.742892397572461
3184,0.184674680355913,0.147806519702547,4.09566799451562,1.00476865160827,0.755987006119211
7847,0.180348311813233,0.13738819285445,3.88584736865325,1.00588502686299,0.777643474100375
7133,0.176639179027294,0.137206949632849,3.95735607029685,1.00704412572154,0.797235023041475
9433,0.190891755312134,0.14133764300236,4.18125726390995,1.0074490323053,0.861801515952759
7221,0.186245292017727,0.149659282179661,4.04559744457363,1.00967422492378,0.739215834403566
5506,0.185764904083339,0.135039805481806,4.17304332756755,1.01020462037523,0.812747097781471
2303,0.182996070512748,0.148211765940657,3.96374293573321,1.01057941789845,0.785248419833296
966,0.183225272934505,0.138323563368072,4.16718840687504,1.01163582709466,0.773916547052454
979,0.178467864077577,0.145330824758699,4.02638142488676,1.01337828342837,0.807257434967641
9454,0.181724917988678,0.132467900999413,4.12869770397689,1.01750345590314,0.776888015914986
2782,0.182842625624233,0.131346914103347,4.1286404362522,1.0246347280982,0.77346327214122
2475,0.178512702571712,0.131825532262265,4.06526498579778,1.0287927056354,0.76560650701317
9311,0.178497147176834,0.131498031105807,4.0558999386694,1.03027813092019,0.665986754299816
6497,0.190078584836515,0.150351699313122,4.04583526956373,1.03259001107218,0.776686560398882
