definition,n_genes,spearman_rho,p_two_sided,genes
frozen_39_gene_panel_34_screen_genes,34,0.35095492742551565,0.041840483961719556,ANO6;ATF3;BCAS1;C3;CCR7;CD109;CD19;CD22;CD274;CD38;CD4;CD47;CD80;CD86;CDH2;CEACAM5;CH25H;CLSTN2;CTLA4;CTSE;EGFR;ERBB2;HAVCR2;HLA-DRA;IL6;KANK4;LAG3;MSLN;PDCD1;PTPRC;SCD;SIGLEC10;STAT1;VSIR
legacy_v4_figure_33_genes_excluding_CD274,33,0.2987967914438503,0.09119880506169042,ANO6;ATF3;BCAS1;C3;CCR7;CD109;CD19;CD22;CD38;CD4;CD47;CD80;CD86;CDH2;CEACAM5;CH25H;CLSTN2;CTLA4;CTSE;EGFR;ERBB2;HAVCR2;HLA-DRA;IL6;KANK4;LAG3;MSLN;PDCD1;PTPRC;SCD;SIGLEC10;STAT1;VSIR
