gene,n_crc_2d,median_crc_2d,median_crc_2d_ci95_lo,median_crc_2d_ci95_hi,pct_crc_lt_minus_0_5,pct_crc_lt_minus_1,n_other_2d,median_other_2d,median_difference_crc_minus_other,median_difference_ci95_lo,median_difference_ci95_hi,rank_biserial_crc_greater,mannwhitney_p_crc_vs_other,FDR_BH
SCD,63,-1.1639835954295306,-1.4674102911676443,-0.9685474619188396,88.88888888888889,60.317460317460316,1145,-0.6542727483753684,-0.5097108470541621,-0.8042553951058141,-0.3220649732900232,-0.4524433354127677,1.4216413797674876e-09,2.8432827595349752e-09
EGFR,63,-0.2558103209015928,-0.3988813187004417,-0.1087463168811751,33.33333333333333,9.523809523809524,1145,-0.1282029500229501,-0.12760737087864268,-0.2719180313023085,0.02125059067454902,-0.16639634019546679,0.02601317849014611,0.02601317849014611
