column,gene,median_crc_2d,rank_strongest_dependency,percentile_strongest_dependency
NTMT2 (149281),NTMT2,-0.1039131510214021,5545.0,70.0809498111171
H2BC10 (8346),H2BC10,-0.1038691529673174,5546.0,70.07555315704263
CEP85L (387119),CEP85L,-0.103834863366188,5547.0,70.07015650296816
SLC6A9 (6536),SLC6A9,-0.1037396968157463,5548.0,70.06475984889369
CA6 (765),CA6,-0.1037195765982937,5549.0,70.05936319481921
CD101 (9398),CD101,-0.1036779802567655,5550.0,70.05396654074474
RBPJ (3516),RBPJ,-0.1036413323909095,5551.0,70.04856988667026
SLC7A13 (157724),SLC7A13,-0.1035246671672243,5552.0,70.04317323259579
SYT3 (84258),SYT3,-0.1035174122314285,5553.0,70.03777657852132
HES3 (390992),HES3,-0.1035038214108861,5554.0,70.03237992444684
ZNF333 (84449),ZNF333,-0.1034840109184123,5555.0,70.02698327037237
CERS4 (79603),CERS4,-0.1034378230667761,5556.0,70.0215866162979
ELK1 (2002),ELK1,-0.1033829820665513,5557.0,70.01618996222344
DLK1 (8788),DLK1,-0.1033740622964039,5558.0,70.01079330814895
BCL2L13 (23786),BCL2L13,-0.103344242703702,5559.0,70.00539665407447
TTBK1 (84630),TTBK1,-0.1033387933212561,5560.0,70.0
RAB37 (326624),RAB37,-0.1032562008130128,5561.0,69.99460334592553
KIF21B (23046),KIF21B,-0.1032526386642565,5562.0,69.98920669185105
PEX7 (5191),PEX7,-0.103225265350928,5563.0,69.98381003777658
ZFAND3 (60685),ZFAND3,-0.1032218634914768,5564.0,69.9784133837021
PVRIG (79037),PVRIG,-0.103174766519831,5565.0,69.97301672962763
ZNF728 (388523),ZNF728,-0.103158305069356,5566.0,69.96762007555316
CSAG2 (102723547),CSAG2,-0.1031463164219462,5567.0,69.96222342147868
ZNF226 (7769),ZNF226,-0.1031405475705091,5568.0,69.95682676740421
HOXB8 (3218),HOXB8,-0.1031335021477856,5569.0,69.95143011332974
MESD (23184),MESD,-0.103132451913452,5570.0,69.94603345925526
H3C2 (8358),H3C2,-0.1030846056716845,5571.0,69.94063680518079
TMED7 (51014),TMED7,-0.1030514610384532,5572.0,69.93524015110631
FBXO22 (26263),FBXO22,-0.1030379075341005,5573.0,69.92984349703184
MYRFL (196446),MYRFL,-0.102972685142488,5574.0,69.92444684295737
KLHL10 (317719),KLHL10,-0.1029382232400951,5575.0,69.91905018888289
QPCTL (54814),QPCTL,-0.1029293450646514,5576.0,69.91365353480842
NCMAP (400746),NCMAP,-0.1028651867526627,5577.0,69.90825688073394
NTMT1 (28989),NTMT1,-0.1028604945687577,5578.0,69.90286022665947
GYPE (2996),GYPE,-0.10282937977631496,5579.0,69.897463572585
MRGPRE (116534),MRGPRE,-0.1027193706695895,5580.0,69.89206691851054
PBXIP1 (57326),PBXIP1,-0.1026798971820294,5581.0,69.88667026443605
CHRM4 (1132),CHRM4,-0.1026360978325562,5582.0,69.88127361036159
SIRT4 (23409),SIRT4,-0.1026303238395215,5583.0,69.8758769562871
GSC2 (2928),GSC2,-0.1026203246342413,5584.0,69.87048030221263
ZNF442 (79973),ZNF442,-0.1026074253703545,5585.0,69.86508364813815
EFCAB3 (146779),EFCAB3,-0.102583910706867,5586.0,69.85968699406368
RAB1A (5861),RAB1A,-0.1025664570689778,5587.0,69.8542903399892
MTX2 (10651),MTX2,-0.1025278525668441,5588.0,69.84889368591473
DUSP29 (338599),DUSP29,-0.102459385585098,5589.0,69.84349703184026
ARRDC5 (645432),ARRDC5,-0.1024084665970452,5590.0,69.83810037776578
TRIM49D1 (399939),TRIM49D1,-0.1024040378764095,5591.0,69.83270372369131
UNC45B (146862),UNC45B,-0.102378574190243,5592.0,69.82730706961684
PRR15 (222171),PRR15,-0.1023403085094639,5593.0,69.82191041554236
G6PC1 (2538),G6PC1,-0.102302376353862,5594.0,69.81651376146789
ADCK2 (90956),ADCK2,-0.1022376579408887,5595.0,69.81111710739341
CAPNS1 (826),CAPNS1,-0.1022192338374659,5596.0,69.80572045331894
WDR53 (348793),WDR53,-0.1022092680616005,5597.0,69.80032379924447
NAPRT (93100),NAPRT,-0.1022088563414022,5598.0,69.79492714516999
DACH1 (1602),DACH1,-0.1021740736991679,5599.0,69.78953049109552
P2RY2 (5029),P2RY2,-0.1021726972456167,5600.0,69.78413383702105
NUFIP2 (57532),NUFIP2,-0.1021641627717374,5601.0,69.77873718294657
SLC27A3 (11000),SLC27A3,-0.1021206985051548,5602.0,69.7733405288721
PDIA4 (9601),PDIA4,-0.1021169690621203,5603.0,69.76794387479764
SMURF1 (57154),SMURF1,-0.1021131752249751,5604.0,69.76254722072315
LRRC15 (131578),LRRC15,-0.1021109550120607,5605.0,69.75715056664869
H1-7 (341567),H1-7,-0.102093435338452,5606.0,69.7517539125742
PRPH (5630),PRPH,-0.1020496657387025,5607.0,69.74635725849974
NR5A1 (2516),NR5A1,-0.1020201736488753,5608.0,69.74096060442525
EPCAM (4072),EPCAM,-0.1019726490614057,5609.0,69.73556395035078
SLCO4A1 (28231),SLCO4A1,-0.101930050858237,5610.0,69.7301672962763
ICAM5 (7087),ICAM5,-0.101851756562391,5611.0,69.72477064220183
KDR (3791),KDR,-0.101803656112214,5612.0,69.71937398812736
FBXO9 (26268),FBXO9,-0.1017872784667552,5613.0,69.71397733405288
OTOP2 (92736),OTOP2,-0.1017838417665338,5614.0,69.70858067997841
DENND2A (27147),DENND2A,-0.1017683047662687,5615.0,69.70318402590394
BRI3BP (140707),BRI3BP,-0.1016968908301197,5616.0,69.69778737182946
CCDC25 (55246),CCDC25,-0.1016029169164922,5617.0,69.69239071775499
ARL11 (115761),ARL11,-0.1015919306237205,5618.0,69.68699406368052
DAZAP2 (9802),DAZAP2,-0.101575570280245,5619.0,69.68159740960604
PSMD10 (5716),PSMD10,-0.1015662654326791,5620.0,69.67620075553157
TRAM1L1 (133022),TRAM1L1,-0.1015278123996482,5621.0,69.6708041014571
NELL2 (4753),NELL2,-0.1014131136821936,5622.0,69.66540744738262
EIF4G3 (8672),EIF4G3,-0.1013065136698952,5623.0,69.66001079330815
LIN28A (79727),LIN28A,-0.1013032100903117,5624.0,69.65461413923367
PLAC8L1 (153770),PLAC8L1,-0.1012860149386702,5625.0,69.6492174851592
OR7C2 (26658),OR7C2,-0.1012719929502676,5626.0,69.64382083108474
GPBP1 (65056),GPBP1,-0.1012258897768979,5627.0,69.63842417701025
GRAMD2A (196996),GRAMD2A,-0.1011992543900813,5628.0,69.63302752293579
CCDC30 (728621),CCDC30,-0.1011734469216576,5629.0,69.6276308688613
P4HA3 (283208),P4HA3,-0.1011697598241795,5630.0,69.62223421478684
OPN5 (221391),OPN5,-0.1011504847700295,5631.0,69.61683756071236
MAN1C1 (57134),MAN1C1,-0.1011411655171657,5632.0,69.6114409066379
AP2B1 (163),AP2B1,-0.101081975147757,5633.0,69.60604425256341
ARHGEF25 (115557),ARHGEF25,-0.1010656099769432,5634.0,69.60064759848893
THTPA (79178),THTPA,-0.1010467330100769,5635.0,69.59525094441446
ZSCAN10 (84891),ZSCAN10,-0.101023902870062,5636.0,69.58985429033999
AQP6 (363),AQP6,-0.1010160318293259,5637.0,69.58445763626551
P4HB (5034),P4HB,-0.100920341498317,5638.0,69.57906098219104
RUNX3 (864),RUNX3,-0.1008902939758175,5639.0,69.57366432811656
SLC22A9 (114571),SLC22A9,-0.1008855950813528,5640.0,69.56826767404209
EMSY (56946),EMSY,-0.100869866091298,5641.0,69.56287101996762
CRMP1 (1400),CRMP1,-0.1008459282576227,5642.0,69.55747436589314
CDKN2AIP (55602),CDKN2AIP,-0.1008217080746301,5643.0,69.55207771181867
SSR1 (6745),SSR1,-0.1008184272357301,5644.0,69.5466810577442
CNBD2 (140894),CNBD2,-0.1007917731568736,5645.0,69.54128440366972
VPS9D1 (9605),VPS9D1,-0.1007909208062996,5646.0,69.53588774959525
RENBP (5973),RENBP,-0.1007500605664931,5647.0,69.53049109552077
ATXN7L3B (552889),ATXN7L3B,-0.1007196466340109,5648.0,69.5250944414463
CFAP77 (389799),CFAP77,-0.1006766062868814,5649.0,69.51969778737184
FNDC7 (163479),FNDC7,-0.1006674266414978,5650.0,69.51430113329735
AP1G1 (164),AP1G1,-0.1006652226666602,5651.0,69.50890447922289
PPP1R37 (284352),PPP1R37,-0.1006467985376126,5652.0,69.5035078251484
PSG9 (5678),PSG9,-0.1006342508204594,5653.0,69.49811117107394
IFI35 (3430),IFI35,-0.1006074096842296,5654.0,69.49271451699946
REN (5972),REN,-0.1005929174094374,5655.0,69.487317862925
SOX2 (6657),SOX2,-0.1005715056528649,5656.0,69.48192120885051
DNAI3 (126820),DNAI3,-0.1005234337186566,5657.0,69.47652455477605
ALKBH1 (8846),ALKBH1,-0.100521489737662,5658.0,69.47112790070156
ZNF736 (728927),ZNF736,-0.1005009538054007,5659.0,69.46573124662709
TBC1D31 (93594),TBC1D31,-0.1004339086587823,5660.0,69.46033459255261
RFX2 (5990),RFX2,-0.1004232144591396,5661.0,69.45493793847814
PYDC1 (260434),PYDC1,-0.1004121737229571,5662.0,69.44954128440367
FBLN7 (129804),FBLN7,-0.1003857916065623,5663.0,69.44414463032919
SLC35A2 (7355),SLC35A2,-0.1003728427447407,5664.0,69.43874797625472
FZD5 (7855),FZD5,-0.1003680534053243,5665.0,69.43335132218024
IQCC (55721),IQCC,-0.1001761530836314,5666.0,69.42795466810577
GOLGA4 (2803),GOLGA4,-0.1001526231643907,5667.0,69.4225580140313
RMDN3 (55177),RMDN3,-0.1001320586475079,5668.0,69.41716135995682
RCBTB2 (1102),RCBTB2,-0.1001221987036049,5669.0,69.41176470588235
FIBP (9158),FIBP,-0.1000887774122124,5670.0,69.40636805180789
PHTF1 (10745),PHTF1,-0.1000532683540554,5671.0,69.4009713977334
IKBIP (121457),IKBIP,-0.100041361723537,5672.0,69.39557474365894
LHX3 (8022),LHX3,-0.1000373707736456,5673.0,69.39017808958445
MYT1 (4661),MYT1,-0.1000002750430013,5674.0,69.38478143550999
DENND5A (23258),DENND5A,-0.0999682576424974,5675.0,69.3793847814355
SLC5A9 (200010),SLC5A9,-0.0999546934222997,5676.0,69.37398812736105
CCDC182 (101927581),CCDC182,-0.0999534058798958,5677.0,69.36859147328656
ATG4D (84971),ATG4D,-0.0999494014106279,5678.0,69.3631948192121
RBFOX3 (146713),RBFOX3,-0.0999442361544087,5679.0,69.35779816513761
REG1A (5967),REG1A,-0.0999405385679476,5680.0,69.35240151106315
PSMB10 (5699),PSMB10,-0.0999371383506498,5681.0,69.34700485698866
EEIG2 (284611),EEIG2,-0.0999326063927927,5682.0,69.3416082029142
NPHS2 (7827),NPHS2,-0.0999295696836163,5683.0,69.33621154883973
CTAGE1 (64693),CTAGE1,-0.0999222854970657,5684.0,69.33081489476524
CYP2F1 (1572),CYP2F1,-0.0998883616411339,5685.0,69.32541824069077
MIB1 (57534),MIB1,-0.0998873648472845,5686.0,69.32002158661629
DNAJC5G (285126),DNAJC5G,-0.0998579425321126,5687.0,69.31462493254182
KCNQ4 (9132),KCNQ4,-0.0997272246141027,5688.0,69.30922827846734
NPR2 (4882),NPR2,-0.0997141902440994,5689.0,69.30383162439287
ZBTB9 (221504),ZBTB9,-0.0997140245518661,5690.0,69.2984349703184
SPACA9 (11092),SPACA9,-0.099706319252697,5691.0,69.29303831624392
IL36G (56300),IL36G,-0.0996828947758104,5692.0,69.28764166216945
PARP6 (56965),PARP6,-0.099628869791098,5693.0,69.28224500809499
ZNF181 (339318),ZNF181,-0.0996059361598525,5694.0,69.2768483540205
YPEL4 (219539),YPEL4,-0.0995544636495252,5695.0,69.27145169994604
ZAR1 (326340),ZAR1,-0.0995250248732894,5696.0,69.26605504587155
ANGEL2 (90806),ANGEL2,-0.0995110224247617,5697.0,69.2606583917971
GMEB2 (26205),GMEB2,-0.0994887286663986,5698.0,69.2552617377226
PPOX (5498),PPOX,-0.0994781668587867,5699.0,69.24986508364815
CD58 (965),CD58,-0.0994732244536956,5700.0,69.24446842957366
PLA2G4E (123745),PLA2G4E,-0.0994632490056698,5701.0,69.2390717754992
B3GNT9 (84752),B3GNT9,-0.0994616095837203,5702.0,69.23367512142471
RGS2 (5997),RGS2,-0.099450736405215,5703.0,69.22827846735025
MFSD11 (79157),MFSD11,-0.0994412824146445,5704.0,69.22288181327578
KRT12 (3859),KRT12,-0.0994219652617706,5705.0,69.2174851592013
SEMA5B (54437),SEMA5B,-0.0994179020957076,5706.0,69.21208850512683
CSF3R (1441),CSF3R,-0.0994066728969077,5707.0,69.20669185105235
LRP8 (7804),LRP8,-0.0994058914280188,5708.0,69.20129519697788
OR2B2 (81697),OR2B2,-0.0993961932222703,5709.0,69.1958985429034
BRMS1L (84312),BRMS1L,-0.099350984554929,5710.0,69.19050188882892
ZFPL1 (7542),ZFPL1,-0.0993460987576836,5711.0,69.18510523475445
RNF152 (220441),RNF152,-0.0993203694199653,5712.0,69.17970858067997
CCNJ (54619),CCNJ,-0.0992368058081386,5713.0,69.1743119266055
PYGL (5836),PYGL,-0.0992173191048281,5714.0,69.16891527253102
OR6K2 (81448),OR6K2,-0.0992097604111497,5715.0,69.16351861845655
UGGT2 (55757),UGGT2,-0.0992075907999921,5716.0,69.15812196438209
CDPF1 (150383),CDPF1,-0.0991488845975784,5717.0,69.1527253103076
MPEG1 (219972),MPEG1,-0.0991244864352636,5718.0,69.14732865623314
TOP3B (8940),TOP3B,-0.0991223871391205,5719.0,69.14193200215865
TPPP (11076),TPPP,-0.0990281025317083,5720.0,69.1365353480842
IL24 (11009),IL24,-0.0990151782254525,5721.0,69.1311386940097
KLHDC8B (200942),KLHDC8B,-0.0988753802056357,5722.0,69.12574203993525
RSPH6A (81492),RSPH6A,-0.0988726775887553,5723.0,69.12034538586076
COMMD1 (150684),COMMD1,-0.0987949231554711,5724.0,69.1149487317863
ESCO2 (157570),ESCO2,-0.0987711446654329,5725.0,69.10955207771181
ADAMTS10 (81794),ADAMTS10,-0.0987662667879904,5726.0,69.10415542363735
KCTD5 (54442),KCTD5,-0.0987635647460625,5727.0,69.09875876956288
ZFYVE16 (9765),ZFYVE16,-0.0987123023445197,5728.0,69.0933621154884
SLC39A11 (201266),SLC39A11,-0.0986794868051957,5729.0,69.08796546141393
TENT5B (115572),TENT5B,-0.0986759728508501,5730.0,69.08256880733946
SLC38A10 (124565),SLC38A10,-0.0986740899276713,5731.0,69.07717215326498
IFNA14 (3448),IFNA14,-0.0986705090510793,5732.0,69.07177549919051
CDH23 (64072),CDH23,-0.0986597785716424,5733.0,69.06637884511603
RAB43 (339122),RAB43,-0.0986330888474307,5734.0,69.06098219104155
SELENBP1 (8991),SELENBP1,-0.0986211127471288,5735.0,69.05558553696707
CLCN6 (1185),CLCN6,-0.0986186006574147,5736.0,69.0501888828926
SEMA4C (54910),SEMA4C,-0.0986172731997312,5737.0,69.04479222881812
ABHD3 (171586),ABHD3,-0.0986093012392934,5738.0,69.03939557474365
AKAP8L (26993),AKAP8L,-0.0985896089303724,5739.0,69.03399892066919
UQCC4 (283951),UQCC4,-0.0985616904403202,5740.0,69.0286022665947
ERICH6 (131831),ERICH6,-0.0985400610655139,5741.0,69.02320561252024
DKK1 (22943),DKK1,-0.09852835385295,5742.0,69.01780895844576
HSH2D (84941),HSH2D,-0.0984807867741436,5743.0,69.0124123043713
PCDHGC5 (56097),PCDHGC5,-0.0984230355091463,5744.0,69.00701565029681
ELAVL3 (1995),ELAVL3,-0.0984202767244563,5745.0,69.00161899622235
TEKTL1 (126402),TEKTL1,-0.0984196027650583,5746.0,68.99622234214786
KRTAP5-10 (387273),KRTAP5-10,-0.09838241727408975,5747.0,68.9908256880734
TGFB1 (7040),TGFB1,-0.0983768078158662,5748.0,68.98542903399891
GOLPH3L (55204),GOLPH3L,-0.0983762161157,5749.0,68.98003237992445
PKLR (5313),PKLR,-0.0983284073306744,5750.0,68.97463572584998
ZNF441 (126068),ZNF441,-0.0983180058979601,5751.0,68.9692390717755
GPATCH2 (55105),GPATCH2,-0.0983009800783908,5752.0,68.96384241770103
SLC27A5 (10998),SLC27A5,-0.0982988417071496,5753.0,68.95844576362656
LCT (3938),LCT,-0.0982834108615311,5754.0,68.95304910955208
ATG101 (60673),ATG101,-0.0982435279599151,5755.0,68.94765245547761
ADAMTS3 (9508),ADAMTS3,-0.0982404089798831,5756.0,68.94225580140314
CBY1 (25776),CBY1,-0.0982234781994478,5757.0,68.93685914732866
DYNLT2B (255758),DYNLT2B,-0.0981740269073528,5758.0,68.93146249325419
ZNF394 (84124),ZNF394,-0.0981578717387034,5759.0,68.9260658391797
ATAD5 (79915),ATAD5,-0.0981372706781733,5760.0,68.92066918510523
JUP (3728),JUP,-0.0980966371697156,5761.0,68.91527253103075
KRT71 (112802),KRT71,-0.0980795253552226,5762.0,68.90987587695629
ITGA3 (3675),ITGA3,-0.0980402451070919,5763.0,68.9044792228818
AP4S1 (11154),AP4S1,-0.0980390082656695,5764.0,68.89908256880734
RCSD1 (92241),RCSD1,-0.0980387796262129,5765.0,68.89368591473286
CHRNA5 (1138),CHRNA5,-0.0980380226782065,5766.0,68.8882892606584
HIVEP3 (59269),HIVEP3,-0.0980171246119154,5767.0,68.88289260658391
ANXA2R (389289),ANXA2R,-0.0980129611619433,5768.0,68.87749595250945
KDM4A (9682),KDM4A,-0.0979644483860541,5769.0,68.87209929843496
HADH (3033),HADH,-0.0979587832209593,5770.0,68.8667026443605
GSTM2 (2946),GSTM2,-0.0979366519519123,5771.0,68.86130599028601
DGKA (1606),DGKA,-0.0978901151649625,5772.0,68.85590933621155
LARP7 (51574),LARP7,-0.0978876774207025,5773.0,68.85051268213708
ITPKA (3706),ITPKA,-0.0978835363949426,5774.0,68.8451160280626
AP1B1 (162),AP1B1,-0.0978805661213577,5775.0,68.83971937398813
LYPLA1 (10434),LYPLA1,-0.0978737895279607,5776.0,68.83432271991366
CIROZ (148345),CIROZ,-0.097845286835997,5777.0,68.82892606583918
GOLGB1 (2804),GOLGB1,-0.0978369935080453,5778.0,68.82352941176471
PREP (5550),PREP,-0.0977933638436956,5779.0,68.81813275769024
PAQR8 (85315),PAQR8,-0.097765392205227,5780.0,68.81273610361576
OR2A5 (393046),OR2A5,-0.0977575087326984,5781.0,68.80733944954129
STX12 (23673),STX12,-0.0976972852293455,5782.0,68.80194279546681
FCHO1 (23149),FCHO1,-0.0976077779279897,5783.0,68.79654614139234
LRFN4 (78999),LRFN4,-0.0975637345398345,5784.0,68.79114948731785
IFNA4 (3441),IFNA4,-0.0975549471032021,5785.0,68.7857528332434
FKBP10 (60681),FKBP10,-0.0975314783348465,5786.0,68.7803561791689
ARHGDIA (396),ARHGDIA,-0.0975186875607046,5787.0,68.77495952509445
MYH3 (4621),MYH3,-0.0974967743287569,5788.0,68.76956287101996
ZNF606 (80095),ZNF606,-0.097495413482243,5789.0,68.7641662169455
GRIN2A (2903),GRIN2A,-0.0974783531844546,5790.0,68.75876956287101
TCF7L1 (83439),TCF7L1,-0.0974736785701882,5791.0,68.75337290879655
KRTAP29-1 (100533177),KRTAP29-1,-0.0974525682789782,5792.0,68.74797625472206
VASP (7408),VASP,-0.0974500305216063,5793.0,68.7425796006476
FBXO42 (54455),FBXO42,-0.0974483967952142,5794.0,68.73718294657311
TRABD2B (388630),TRABD2B,-0.0974277649974441,5795.0,68.73178629249865
TXK (7294),TXK,-0.0974272956917914,5796.0,68.72638963842418
SELP (6403),SELP,-0.0974147468568491,5797.0,68.7209929843497
KIF26A (26153),KIF26A,-0.0974039388128198,5798.0,68.71559633027523
XCL1 (6375),XCL1,-0.09737603409115064,5799.0,68.71019967620076
SLC5A3 (6526),SLC5A3,-0.0973536260909331,5800.0,68.70480302212628
PITX1 (5307),PITX1,-0.0973482407323128,5801.0,68.69940636805181
CIDEC (63924),CIDEC,-0.097336760705647,5802.0,68.69400971397734
PINX1 (54984),PINX1,-0.0973342923273702,5803.0,68.68861305990286
GDE1 (51573),GDE1,-0.0973118092803708,5804.0,68.68321640582839
CATSPERG (57828),CATSPERG,-0.0972877697704454,5805.0,68.67781975175392
ZNF648 (127665),ZNF648,-0.0972525956769434,5806.0,68.67242309767944
TAGLN3 (29114),TAGLN3,-0.0972274515314342,5807.0,68.66702644360497
EMC6 (83460),EMC6,-0.0971971905782539,5808.0,68.6616297895305
VPS8 (23355),VPS8,-0.0971969641379776,5809.0,68.656233135456
STK11 (6794),STK11,-0.097181051831424,5810.0,68.65083648138155
IGLL1 (3543),IGLL1,-0.0971735165032883,5811.0,68.64543982730706
SIGLEC10 (89790),SIGLEC10,-0.0970567993446501,5812.0,68.6400431732326
EMC8 (10328),EMC8,-0.0970538628793429,5813.0,68.63464651915811
TAX1BP3 (30851),TAX1BP3,-0.0970244029758243,5814.0,68.62924986508365
ADGRG3 (222487),ADGRG3,-0.0970030893884465,5815.0,68.62385321100916
OR2T8 (343172),OR2T8,-0.09700148947927045,5816.0,68.6184565569347
DTX3 (196403),DTX3,-0.0969877935737018,5817.0,68.61305990286021
G6PD (2539),G6PD,-0.0969877654016253,5818.0,68.60766324878576
PDHA1 (5160),PDHA1,-0.0969513167607614,5819.0,68.60226659471128
GDF9 (2661),GDF9,-0.0969364187952929,5820.0,68.59686994063681
NEU1 (4758),NEU1,-0.0969010083728002,5821.0,68.59147328656233
CILK1 (22858),CILK1,-0.0968682541118197,5822.0,68.58607663248786
FUBP1 (8880),FUBP1,-0.0968519568002346,5823.0,68.58067997841339
SLC52A1 (55065),SLC52A1,-0.0967985984437482,5824.0,68.57528332433891
L3MBTL1 (26013),L3MBTL1,-0.0967838562685142,5825.0,68.56988667026444
HLA-G (3135),HLA-G,-0.0967778403314532,5826.0,68.56449001618996
C16orf89 (146556),C16orf89,-0.0967446993206685,5827.0,68.55909336211549
ITGB1 (3688),ITGB1,-0.0966779779935013,5828.0,68.55369670804102
KIF1A (547),KIF1A,-0.0966234924003737,5829.0,68.54830005396654
VRTN (55237),VRTN,-0.0965958369541362,5830.0,68.54290339989207
LRIT1 (26103),LRIT1,-0.0965839378610293,5831.0,68.5375067458176
NDUFA12 (55967),NDUFA12,-0.0965624115034755,5832.0,68.53211009174312
CCR4 (1233),CCR4,-0.09652825798883,5833.0,68.52671343766865
RAET1L (154064),RAET1L,-0.09651392945967416,5834.0,68.52131678359416
PROCR (10544),PROCR,-0.0964655748203113,5835.0,68.5159201295197
SMIM29 (221491),SMIM29,-0.0964436324268717,5836.0,68.51052347544521
PARK7 (11315),PARK7,-0.0964362579508338,5837.0,68.50512682137075
OCLN (100506658),OCLN,-0.0964320985469986,5838.0,68.49973016729626
HBZ (3050),HBZ,-0.096416962782257,5839.0,68.4943335132218
CDK5 (1020),CDK5,-0.096399701708756,5840.0,68.48893685914733
GPR142 (350383),GPR142,-0.0963996747722518,5841.0,68.48354020507286
OR6A2 (8590),OR6A2,-0.0963582635750778,5842.0,68.47814355099838
CMPK2 (129607),CMPK2,-0.09635405666997,5843.0,68.47274689692391
SP5 (389058),SP5,-0.0963507190283579,5844.0,68.46735024284943
CNFN (84518),CNFN,-0.0963452279868501,5845.0,68.46195358877496
CCDC196 (440184),CCDC196,-0.0963159093538643,5846.0,68.45655693470049
AASDH (132949),AASDH,-0.0962987117172747,5847.0,68.45116028062601
HOMEZ (57594),HOMEZ,-0.09629207357229,5848.0,68.44576362655154
SAMD11 (148398),SAMD11,-0.0962832532210072,5849.0,68.44036697247707
YBX2 (51087),YBX2,-0.0962447401298152,5850.0,68.43497031840259
KCTD21 (283219),KCTD21,-0.0962421729680487,5851.0,68.42957366432812
IL31RA (133396),IL31RA,-0.0962230711874311,5852.0,68.42417701025366
MYADM (91663),MYADM,-0.0962174563004557,5853.0,68.41878035617917
TH (7054),TH,-0.0961959855275502,5854.0,68.4133837021047
FREY1 (143678),FREY1,-0.0961862948287367,5855.0,68.40798704803022
ASIC4 (55515),ASIC4,-0.0961488679526138,5856.0,68.40259039395575
TMSB15A (11013),TMSB15A,-0.09614679782034405,5857.0,68.39719373988127
PRDX4 (10549),PRDX4,-0.0961332275900442,5858.0,68.3917970858068
PHF21B (112885),PHF21B,-0.0961246473384907,5859.0,68.38640043173231
FBXL12 (54850),FBXL12,-0.0961141474828901,5860.0,68.38100377765785
PHYKPL (85007),PHYKPL,-0.0960998372162724,5861.0,68.37560712358336
TOP1MT (116447),TOP1MT,-0.0960897152438049,5862.0,68.3702104695089
SPINK14 (408187),SPINK14,-0.096038321438316,5863.0,68.36481381543443
HOXA13 (3209),HOXA13,-0.0959994294250873,5864.0,68.35941716135996
HDDC3 (374659),HDDC3,-0.0959935246244595,5865.0,68.35402050728548
FAM76B (143684),FAM76B,-0.0959803288688793,5866.0,68.34862385321101
MBD4 (8930),MBD4,-0.0959660508076851,5867.0,68.34322719913654
DPEP3 (64180),DPEP3,-0.0959350693702169,5868.0,68.33783054506206
SIRT2 (22933),SIRT2,-0.0959335238018843,5869.0,68.33243389098759
ERBB3 (2065),ERBB3,-0.0958711830123212,5870.0,68.32703723691311
CCNE2 (9134),CCNE2,-0.0958527871278309,5871.0,68.32164058283864
MLLT6 (4302),MLLT6,-0.0958139747926982,5872.0,68.31624392876417
MYDGF (56005),MYDGF,-0.0957355216854536,5873.0,68.31084727468969
IL22RA1 (58985),IL22RA1,-0.0956898832957875,5874.0,68.30545062061522
RASGRP4 (115727),RASGRP4,-0.095631422987847,5875.0,68.30005396654076
NFKBID (84807),NFKBID,-0.0955949612084984,5876.0,68.29465731246627
UBE2D4 (51619),UBE2D4,-0.0955741038392981,5877.0,68.28926065839181
NCCRP1 (342897),NCCRP1,-0.0955657171004454,5878.0,68.28386400431732
GTPBP2 (54676),GTPBP2,-0.095494711794052,5879.0,68.27846735024285
PITX3 (5309),PITX3,-0.095483075837126,5880.0,68.27307069616838
PLPPR5 (163404),PLPPR5,-0.0954672111675286,5881.0,68.2676740420939
DCST1 (149095),DCST1,-0.0954305281281422,5882.0,68.26227738801943
IL4I1 (259307),IL4I1,-0.0953938628787916,5883.0,68.25688073394495
ITPA (3704),ITPA,-0.0953874886495361,5884.0,68.25148407987047
ZC3H7B (23264),ZC3H7B,-0.0953863543621881,5885.0,68.246087425796
TKFC (26007),TKFC,-0.0953861574963917,5886.0,68.24069077172153
RFX1 (5989),RFX1,-0.0953844764247617,5887.0,68.23529411764706
UPK2 (7379),UPK2,-0.0953740380592908,5888.0,68.22989746357258
TMIGD1 (388364),TMIGD1,-0.095371954907487,5889.0,68.22450080949811
ZNF106 (64397),ZNF106,-0.0953715171518137,5890.0,68.21910415542364
CDIN1 (84529),CDIN1,-0.0953632184267929,5891.0,68.21370750134916
NUDT11 (55190),NUDT11,-0.0953502336804712,5892.0,68.20831084727469
SCN1B (6324),SCN1B,-0.0953075221256203,5893.0,68.20291419320021
GNAT2 (2780),GNAT2,-0.0952466649845463,5894.0,68.19751753912574
SLC35A1 (10559),SLC35A1,-0.0952285024556572,5895.0,68.19212088505127
METTL25B (51093),METTL25B,-0.0951709237644039,5896.0,68.1867242309768
OR6C3 (254786),OR6C3,-0.0951324346139117,5897.0,68.18132757690232
RIDA (10247),RIDA,-0.0951005170515262,5898.0,68.17593092282786
AGFG2 (3268),AGFG2,-0.0950662461051838,5899.0,68.17053426875337
RIOX2 (84864),RIOX2,-0.095049403358802,5900.0,68.16513761467891
PDE1C (5137),PDE1C,-0.0950075101859091,5901.0,68.15974096060442
RNF215 (200312),RNF215,-0.0949945862452057,5902.0,68.15434430652996
HEXIM2 (124790),HEXIM2,-0.0949821665962668,5903.0,68.14894765245548
NSD1 (64324),NSD1,-0.0949720170066492,5904.0,68.143550998381
MSL2 (55167),MSL2,-0.0949480238725141,5905.0,68.13815434430653
MAP4K2 (5871),MAP4K2,-0.0948930399459361,5906.0,68.13275769023205
