column,gene,median_crc_2d,rank_strongest_dependency,percentile_strongest_dependency
DYNLRB1 (83658),DYNLRB1,-2.431648738138346,88.0,99.53049109552077
RUVBL1 (8607),RUVBL1,-2.413725778261358,89.0,99.5250944414463
SF3B3 (23450),SF3B3,-2.41148709848019,90.0,99.51969778737183
EEF1A1 (1915),EEF1A1,-2.4067964104745854,91.0,99.51430113329735
UBL5 (59286),UBL5,-2.405328577892525,92.0,99.50890447922288
HSPA9 (3313),HSPA9,-2.4015197965291866,93.0,99.5035078251484
DTL (51514),DTL,-2.3953424788711617,94.0,99.49811117107393
PSMB4 (5692),PSMB4,-2.388455849507356,95.0,99.49271451699946
RPL32 (6161),RPL32,-2.3875335850623096,96.0,99.48731786292498
FARSB (10056),FARSB,-2.3798334215434047,97.0,99.48192120885051
SNRPD2 (6633),SNRPD2,-2.372851120853755,98.0,99.47652455477603
CDC16 (8881),CDC16,-2.3676335833618283,99.0,99.47112790070156
YARS1 (8565),YARS1,-2.3648222665695484,100.0,99.46573124662709
COPB1 (1315),COPB1,-2.355966513249392,101.0,99.46033459255261
RPA1 (6117),RPA1,-2.350407871666181,102.0,99.45493793847814
PSMD14 (10213),PSMD14,-2.3392977918773434,103.0,99.44954128440367
PSMA1 (5682),PSMA1,-2.3367472373939577,104.0,99.4441446303292
POLR2B (5431),POLR2B,-2.336658200967311,105.0,99.43874797625473
NSF (4905),NSF,-2.3292525819416903,106.0,99.43335132218026
RPL27 (6155),RPL27,-2.326193527682192,107.0,99.42795466810578
DHDDS (79947),DHDDS,-2.3247412291342746,108.0,99.42255801403131
RPL19 (6143),RPL19,-2.320103562963376,109.0,99.41716135995684
RPL14 (9045),RPL14,-2.318212039233196,110.0,99.41176470588235
PSMA2 (5683),PSMA2,-2.314103844575576,111.0,99.40636805180787
RPL13 (6137),RPL13,-2.314047099140919,112.0,99.4009713977334
RPL23A (6147),RPL23A,-2.311766308468721,113.0,99.39557474365893
RNGTT (8732),RNGTT,-2.3106414879767843,114.0,99.39017808958445
RPL11 (6135),RPL11,-2.3084520212046846,115.0,99.38478143550998
EIF1AX (1964),EIF1AX,-2.3037667031314744,116.0,99.3793847814355
RPL9 (6133),RPL9,-2.2933226510726112,117.0,99.37398812736103
MCM7 (4176),MCM7,-2.292580067844597,118.0,99.36859147328656
UQCRH (7388),UQCRH,-2.2898194389855218,119.0,99.36319481921208
INTS11 (54973),INTS11,-2.2873771670513148,120.0,99.35779816513761
POLR2C (5432),POLR2C,-2.286579174426169,121.0,99.35240151106314
RPL10A (4736),RPL10A,-2.2801293101887388,122.0,99.34700485698866
DBR1 (51163),DBR1,-2.261796436929485,123.0,99.34160820291419
RPS9 (6203),RPS9,-2.255405704016124,124.0,99.33621154883971
AARS1 (16),AARS1,-2.254816390295032,125.0,99.33081489476524
RPS15 (6209),RPS15,-2.2503200413819178,126.0,99.32541824069078
SF3B4 (10262),SF3B4,-2.2397687974217964,127.0,99.3200215866163
CDC20 (991),CDC20,-2.2382110833161475,128.0,99.31462493254183
RPL26 (6154),RPL26,-2.236330718813126,129.0,99.30922827846736
CHAF1B (8208),CHAF1B,-2.2271097726538627,130.0,99.30383162439288
EIF2S1 (1965),EIF2S1,-2.2238537557163225,131.0,99.29843497031841
SF3A3 (10946),SF3A3,-2.220939671979893,132.0,99.29303831624394
RPL24 (6152),RPL24,-2.22003108978168,133.0,99.28764166216946
RSL24D1 (51187),RSL24D1,-2.217296852983028,134.0,99.28224500809499
PSMD7 (5713),PSMD7,-2.2033780344628977,135.0,99.2768483540205
RPS28 (6234),RPS28,-2.203120348148096,136.0,99.27145169994603
TARS1 (6897),TARS1,-2.200619799208652,137.0,99.26605504587155
CDC23 (8697),CDC23,-2.1972060677707264,138.0,99.26065839179708
NIP7 (51388),NIP7,-2.1830398225870384,139.0,99.2552617377226
RPL18 (6141),RPL18,-2.181445439728688,140.0,99.24986508364813
PPWD1 (23398),PPWD1,-2.1798888073489437,141.0,99.24446842957366
GPN2 (54707),GPN2,-2.178826391636492,142.0,99.23907177549918
SBDS (51119),SBDS,-2.1748132318341367,143.0,99.23367512142471
PAFAH1B1 (5048),PAFAH1B1,-2.1694976273755096,144.0,99.22827846735024
RPL5 (6125),RPL5,-2.168524333756872,145.0,99.22288181327576
SF3A1 (10291),SF3A1,-2.1534914268222094,146.0,99.21748515920129
CDC7 (8317),CDC7,-2.149541267696214,147.0,99.21208850512681
PSMB6 (5694),PSMB6,-2.146798598502316,148.0,99.20669185105234
RPL13A (23521),RPL13A,-2.141063767069432,149.0,99.20129519697788
COPB2 (9276),COPB2,-2.1401335968344704,150.0,99.19589854290341
WDR43 (23160),WDR43,-2.1360752565643755,151.0,99.19050188882893
DUT (1854),DUT,-2.135756288458637,152.0,99.18510523475446
PRPF31 (26121),PRPF31,-2.134661894374796,153.0,99.17970858067999
PRPF38A (84950),PRPF38A,-2.130194475769267,154.0,99.17431192660551
ETF1 (2107),ETF1,-2.127740451280313,155.0,99.16891527253104
COPA (1314),COPA,-2.126822711636112,156.0,99.16351861845656
POLD1 (5424),POLD1,-2.123819690090221,157.0,99.15812196438209
PRPF8 (10594),PRPF8,-2.118812784395476,158.0,99.15272531030762
MYC (4609),MYC,-2.117496572328789,159.0,99.14732865623314
ATP6V1B2 (526),ATP6V1B2,-2.1064635082744254,160.0,99.14193200215865
DCAF1 (9730),DCAF1,-2.10389335484029,161.0,99.13653534808418
SRSF7 (6432),SRSF7,-2.099487417228619,162.0,99.1311386940097
RPS3 (6188),RPS3,-2.098352516752984,163.0,99.12574203993523
CCT4 (10575),CCT4,-2.0913834156623943,164.0,99.12034538586076
DDX56 (54606),DDX56,-2.0865065876242834,165.0,99.11494873178628
SRP54 (6729),SRP54,-2.085557688527432,166.0,99.10955207771181
ORC6 (23594),ORC6,-2.0779429631907465,167.0,99.10415542363734
RPL37A (6168),RPL37A,-2.07673098252037,168.0,99.09875876956286
NCBP2 (22916),NCBP2,-2.0705951780954384,169.0,99.09336211548839
RPS7 (6201),RPS7,-2.063504639578163,170.0,99.08796546141392
RPL37 (6167),RPL37,-2.062321869945989,171.0,99.08256880733946
RPA3 (6119),RPA3,-2.0615373885771384,172.0,99.07717215326498
ATP6V1A (523),ATP6V1A,-2.060362848658776,173.0,99.07177549919051
AURKB (9212),AURKB,-2.052031633463261,174.0,99.06637884511603
RUVBL2 (10856),RUVBL2,-2.048002302157888,175.0,99.06098219104156
RPS16 (6217),RPS16,-2.04695612832598,176.0,99.05558553696709
LUC7L3 (51747),LUC7L3,-2.0458315513501666,177.0,99.05018888289261
SNRPE (6635),SNRPE,-2.0418713075927535,178.0,99.04479222881814
UBA1 (7317),UBA1,-2.040477176965995,179.0,99.03939557474366
DDX49 (54555),DDX49,-2.0352400088585263,180.0,99.03399892066919
POLR1C (9533),POLR1C,-2.032974929985646,181.0,99.02860226659472
MED11 (400569),MED11,-2.0258491603946536,182.0,99.02320561252024
RPL7L1 (285855),RPL7L1,-2.024944013949852,183.0,99.01780895844577
WDR74 (54663),WDR74,-2.024624498058804,184.0,99.0124123043713
EIF4A3 (9775),EIF4A3,-2.0222459989310257,185.0,99.00701565029681
UTP4 (84916),UTP4,-2.0129511110719966,186.0,99.00161899622233
DDB1 (1642),DDB1,-2.008901532501602,187.0,98.99622234214786
ERH (2079),ERH,-2.0085414747259884,188.0,98.99082568807339
RPS24 (6229),RPS24,-2.0036203676906026,189.0,98.98542903399891
CIAO3 (64428),CIAO3,-1.9939469761213604,190.0,98.98003237992444
RPL27A (6157),RPL27A,-1.988410346292225,191.0,98.97463572584996
RPS12 (6206),RPS12,-1.9880150217047707,192.0,98.96923907177549
RFC2 (5982),RFC2,-1.984080443119633,193.0,98.96384241770102
KIF23 (9493),KIF23,-1.9778131760211035,194.0,98.95844576362656
WDR82 (80335),WDR82,-1.9722912106793005,195.0,98.95304910955208
XPO1 (7514),XPO1,-1.9644154664648088,196.0,98.94765245547761
MED30 (90390),MED30,-1.95508663565518,197.0,98.94225580140314
RPL35A (6165),RPL35A,-1.9543696482693933,198.0,98.93685914732866
PSMC3 (5702),PSMC3,-1.9500452907629624,199.0,98.93146249325419
MAK16 (84549),MAK16,-1.949888207751717,200.0,98.92606583917971
CDC5L (988),CDC5L,-1.9492582222720445,201.0,98.92066918510524
GOLGA6L4 (643707),GOLGA6L4,-1.9462688146506641,202.0,98.91527253103077
BIRC5 (332),BIRC5,-1.9387734503021183,203.0,98.90987587695629
GTF2B (2959),GTF2B,-1.937463662631256,204.0,98.90447922288182
CHMP2A (27243),CHMP2A,-1.933987830679536,205.0,98.89908256880734
SNRPB (6628),SNRPB,-1.930129152362102,206.0,98.89368591473287
PRIM1 (5557),PRIM1,-1.925460660845252,207.0,98.8882892606584
RPL36 (25873),RPL36,-1.924461114314224,208.0,98.88289260658392
NUDT21 (11051),NUDT21,-1.9235366992978955,209.0,98.87749595250945
NARS1 (4677),NARS1,-1.9190522159153955,210.0,98.87209929843496
POLR2D (5433),POLR2D,-1.918098779274564,211.0,98.86670264436049
LSM8 (51691),LSM8,-1.916245426247677,212.0,98.86130599028601
MARS1 (4141),MARS1,-1.9160032229064108,213.0,98.85590933621154
ECD (11319),ECD,-1.9141603094710795,214.0,98.85051268213707
RACK1 (10399),RACK1,-1.9135416876163664,215.0,98.84511602806259
LTO1 (220064),LTO1,-1.9121341439734365,216.0,98.83971937398812
TRMT112 (51504),TRMT112,-1.910659676683504,217.0,98.83432271991366
POLR2I (5438),POLR2I,-1.909723866611208,218.0,98.82892606583918
CKAP5 (9793),CKAP5,-1.9094110976605647,219.0,98.82352941176471
U2AF1 (7307),U2AF1,-1.9080134182403443,220.0,98.81813275769024
SDE2 (163859),SDE2,-1.904671120238519,221.0,98.81273610361576
XRCC6 (2547),XRCC6,-1.902570572009568,222.0,98.80733944954129
NEDD8 (4738),NEDD8,-1.902335490186088,223.0,98.80194279546681
RPS14 (6208),RPS14,-1.9013763484868385,224.0,98.79654614139234
ABCE1 (6059),ABCE1,-1.89515684776894,225.0,98.79114948731787
DHX37 (57647),DHX37,-1.8895476679999716,226.0,98.7857528332434
SNU13 (4809),SNU13,-1.888786706004332,227.0,98.78035617916892
UBE2I (7329),UBE2I,-1.8880095325142747,228.0,98.77495952509445
PHB2 (11331),PHB2,-1.8827243088814327,229.0,98.76956287101997
NCAPG (64151),NCAPG,-1.8807681642322025,230.0,98.7641662169455
ISCU (23479),ISCU,-1.8796963861584357,231.0,98.75876956287102
RBM39 (9584),RBM39,-1.8790234684865332,232.0,98.75337290879655
ATP6V1F (9296),ATP6V1F,-1.878750003143481,233.0,98.74797625472208
COPS5 (10987),COPS5,-1.8770840372677573,234.0,98.7425796006476
HSPD1 (3329),HSPD1,-1.875548288380644,235.0,98.73718294657311
PHB1 (5245),PHB1,-1.873657614085653,236.0,98.73178629249864
NEDD1 (121441),NEDD1,-1.8708622372265789,237.0,98.72638963842417
IARS1 (3376),IARS1,-1.8705886640944525,238.0,98.72099298434969
MMS22L (253714),MMS22L,-1.8677170078230116,239.0,98.71559633027522
LCE2C (353140),LCE2C,-1.8638018493868984,240.0,98.71019967620076
PRPF38B (55119),PRPF38B,-1.862153465935848,241.0,98.70480302212628
MCM2 (4171),MCM2,-1.857625180935552,242.0,98.69940636805181
GUK1 (2987),GUK1,-1.8573100177658093,243.0,98.69400971397734
POLR3H (171568),POLR3H,-1.8528575102591665,244.0,98.68861305990286
PRELID3B (51012),PRELID3B,-1.8506719885636107,245.0,98.68321640582839
MTBP (27085),MTBP,-1.8480404776711696,246.0,98.67781975175392
DTYMK (1841),DTYMK,-1.846357739765562,247.0,98.67242309767944
PSMA5 (5686),PSMA5,-1.8459416608681292,248.0,98.66702644360497
CTCF (10664),CTCF,-1.8436437629799287,249.0,98.6616297895305
GSPT1 (2935),GSPT1,-1.8416919364513016,250.0,98.65623313545602
POLD3 (10714),POLD3,-1.839960728092244,251.0,98.65083648138155
TRAPPC3 (27095),TRAPPC3,-1.8385755594335016,252.0,98.64543982730707
GEMIN5 (25929),GEMIN5,-1.8381882266559375,253.0,98.6400431732326
CDT1 (81620),CDT1,-1.8350457506676292,254.0,98.63464651915812
SUPT6H (6830),SUPT6H,-1.8326470841613387,255.0,98.62924986508365
COPS6 (10980),COPS6,-1.82799020694002,256.0,98.62385321100918
PDRG1 (81572),PDRG1,-1.8258414970347825,257.0,98.6184565569347
RBM22 (55696),RBM22,-1.8235754339763,258.0,98.61305990286023
SAP30BP (29115),SAP30BP,-1.8234766436895848,259.0,98.60766324878576
SNRNP25 (79622),SNRNP25,-1.8215003027175756,260.0,98.60226659471127
EIF2S3 (1968),EIF2S3,-1.8206298163644592,261.0,98.5968699406368
ZMAT2 (153527),ZMAT2,-1.8186586177284665,262.0,98.59147328656233
SF3A2 (8175),SF3A2,-1.818155239591677,263.0,98.58607663248786
PSMG4 (389362),PSMG4,-1.817809439549243,264.0,98.58067997841339
NBPF14 (25832),NBPF14,-1.8155185096367488,265.0,98.57528332433891
POLR3B (55703),POLR3B,-1.812901153632816,266.0,98.56988667026444
PSMB5 (5693),PSMB5,-1.811607156452028,267.0,98.56449001618996
TTC27 (55622),TTC27,-1.8025518137586087,268.0,98.55909336211549
ANAPC11 (51529),ANAPC11,-1.799143412091995,269.0,98.55369670804102
BANF1 (8815),BANF1,-1.797007765601268,270.0,98.54830005396654
RPL7 (6129),RPL7,-1.796467184882232,271.0,98.54290339989207
CHMP6 (79643),CHMP6,-1.796277026997687,272.0,98.5375067458176
RNPC3 (55599),RNPC3,-1.794501865440299,273.0,98.53211009174312
PSMB2 (5690),PSMB2,-1.7883735334684512,274.0,98.52671343766865
TONSL (4796),TONSL,-1.7870656378295224,275.0,98.52131678359417
SPC25 (57405),SPC25,-1.7868794526514504,276.0,98.5159201295197
INTS3 (65123),INTS3,-1.7860692141747796,277.0,98.51052347544523
CSE1L (1434),CSE1L,-1.7842002377670554,278.0,98.50512682137075
NUP93 (9688),NUP93,-1.783622334595167,279.0,98.49973016729628
POLR2F (5435),POLR2F,-1.7836121301034216,280.0,98.4943335132218
RPAP1 (26015),RPAP1,-1.783339712725042,281.0,98.48893685914733
BRF2 (55290),BRF2,-1.7745178843059604,282.0,98.48354020507286
KARS1 (3735),KARS1,-1.7733331507267114,283.0,98.47814355099838
CENPW (387103),CENPW,-1.77200651318166,284.0,98.47274689692391
SNRNP35 (11066),SNRNP35,-1.7699452061811605,285.0,98.46735024284943
POLE2 (5427),POLE2,-1.7691338937267898,286.0,98.46195358877496
CDCA8 (55143),CDCA8,-1.7638442867848323,287.0,98.45655693470049
DPAGT1 (1798),DPAGT1,-1.7632298959199162,288.0,98.45116028062601
TICRR (90381),TICRR,-1.7622476742881537,289.0,98.44576362655154
WDR36 (134430),WDR36,-1.7606549640125655,290.0,98.44036697247707
DDX54 (79039),DDX54,-1.7600313608252514,291.0,98.43497031840259
PSMD6 (9861),PSMD6,-1.7532385518531688,292.0,98.42957366432812
PSMD4 (5710),PSMD4,-1.7518000310771138,293.0,98.42417701025364
SUPT16H (11198),SUPT16H,-1.7475976975049754,294.0,98.41878035617917
GTPBP4 (23560),GTPBP4,-1.747571135252625,295.0,98.4133837021047
UTP15 (84135),UTP15,-1.7468578533935983,296.0,98.40798704803022
UBTF (7343),UBTF,-1.7427886951733187,297.0,98.40259039395575
INTS4 (92105),INTS4,-1.7426416139192868,298.0,98.39719373988127
PFDN2 (5202),PFDN2,-1.742176636530602,299.0,98.3917970858068
MCM5 (4174),MCM5,-1.7375670474074325,300.0,98.38640043173233
POLR2E (5434),POLR2E,-1.73050282722494,301.0,98.38100377765785
CPSF4 (10898),CPSF4,-1.7290207518351968,302.0,98.37560712358338
IK (3550),IK,-1.7261305883890872,303.0,98.3702104695089
DYNC1I2 (1781),DYNC1I2,-1.7229266793332776,304.0,98.36481381543443
EIF3A (8661),EIF3A,-1.718940273743708,305.0,98.35941716135996
PSMD3 (5709),PSMD3,-1.7123375570582218,306.0,98.35402050728548
CHEK1 (1111),CHEK1,-1.7101202001460176,307.0,98.34862385321101
CARS1 (833),CARS1,-1.7087716130273896,308.0,98.34322719913654
RPS17 (6218),RPS17,-1.7059375415480234,309.0,98.33783054506206
POLR2G (5436),POLR2G,-1.6994123557065677,310.0,98.33243389098759
CLNS1A (1207),CLNS1A,-1.69800803800186,311.0,98.32703723691311
DAD1 (1603),DAD1,-1.6971774878535486,312.0,98.32164058283864
TSR2 (90121),TSR2,-1.6960030559794237,313.0,98.31624392876417
INTS9 (55756),INTS9,-1.6952307372549982,314.0,98.31084727468969
CRNKL1 (51340),CRNKL1,-1.6941304948603622,315.0,98.30545062061522
LSM7 (51690),LSM7,-1.6913444483585751,316.0,98.30005396654074
HCFC1 (3054),HCFC1,-1.6897666633370627,317.0,98.29465731246627
RBMX (27316),RBMX,-1.6892496186086017,318.0,98.2892606583918
EIF3B (8662),EIF3B,-1.6875285950213643,319.0,98.28386400431732
TUT1 (64852),TUT1,-1.6869962497916553,320.0,98.27846735024285
CLP1 (10978),CLP1,-1.6854586038927968,321.0,98.27307069616838
DHX8 (1659),DHX8,-1.685168900719244,322.0,98.2676740420939
SOD1 (6647),SOD1,-1.6844605508403254,323.0,98.26227738801943
ATP2A2 (488),ATP2A2,-1.6838497901370064,324.0,98.25688073394495
SEC61A1 (29927),SEC61A1,-1.6818127555552045,325.0,98.25148407987048
NAA50 (80218),NAA50,-1.6786513731038544,326.0,98.246087425796
POP5 (51367),POP5,-1.6764181855422422,327.0,98.24069077172153
BCL2L1 (598),BCL2L1,-1.6738544499430907,328.0,98.23529411764706
SEC13 (6396),SEC13,-1.66821556990549,329.0,98.22989746357258
POLR1F (221830),POLR1F,-1.6680527049114582,330.0,98.22450080949811
DYNC1H1 (1778),DYNC1H1,-1.6676937872764803,331.0,98.21910415542364
MTREX (23517),MTREX,-1.6639910430776157,332.0,98.21370750134916
EIF4A1 (1973),EIF4A1,-1.6634495938782936,333.0,98.20831084727469
QARS1 (5859),QARS1,-1.6589141174106543,334.0,98.20291419320021
SCAP (22937),SCAP,-1.6568576283420708,335.0,98.19751753912574
NIFK (84365),NIFK,-1.6507988691771276,336.0,98.19212088505127
TRNT1 (51095),TRNT1,-1.6473234948691988,337.0,98.1867242309768
PMPCB (9512),PMPCB,-1.6467951237015137,338.0,98.18132757690232
POLE (5426),POLE,-1.641759215464845,339.0,98.17593092282785
AIRIM (54955),AIRIM,-1.6410620816277373,340.0,98.17053426875337
ELL (8178),ELL,-1.637392858297834,341.0,98.1651376146789
