gene,n_organoid,median_organoid,q1_organoid,q3_organoid,pct_officially_depleted,n_crc_2d,median_crc_2d,mean_crc_2d,q1_crc_2d,q3_crc_2d,pct_crc_lt_minus_0_5,pct_crc_lt_minus_1,rank_strongest_dependency,percentile_strongest_dependency
EGFR,85,-1.19761700637978,-1.64824725621352,-0.845109716542007,82.35294117647058,63,-0.2558103209015928,-0.3445087602520106,-0.5923743601992811,-0.01251411173374835,33.33333333333333,9.523809523809524,2744.0,85.1969778737183
SCD,85,-1.14508387692216,-1.40040217954989,-0.814156090500454,83.52941176470588,63,-1.1639835954295306,-1.252209530840273,-1.6435688629917682,-0.7512866449980093,88.88888888888889,60.317460317460316,699.0,96.23313545601727
