ModelID	SCD_gene_effect	VPS72_gene_effect	global_median_gene_effect	global_mad_gene_effect	common_essential_PC1	common_essential_PC2	common_essential_PC3	common_essential_PC4	common_essential_PC5	SCD_rank_residual	VPS72_rank_residual
ACH-000552	-3.5117695331573486	-0.5660287141799927	-0.04195873811841011	0.09424464777112007	-2.8784777529326564	-3.254635532740729	0.3531867774754189	-8.758015897550477	-6.08494984310901	-23.032883820296853	-2.285365365696123
ACH-000958	-0.6053049564361572	-0.8744604587554932	-0.04280237480998039	0.1209329329431057	5.094132953023585	-0.9894421548454835	-2.2109726140731505	4.09493098165489	-9.316971314216469	21.160189400142514	-10.001073977391364
ACH-001061	-1.6149839162826538	-0.6476762890815735	-0.04169712960720062	0.10528045147657394	5.489340401499116	1.7720404887754662	-3.2768386928332003	-0.056037469693624394	-7.647560875922685	-6.9571011863223156	-2.941672579513245
ACH-002669	-1.362229585647583	-0.45480531454086304	-0.039726242423057556	0.10412603616714478	8.57778797976945	3.3287963164300485	2.6227461376539187	-1.0436847598537347	0.6745606548084425	3.4659743602977215	5.458110783657318
ACH-000403	-1.7329411506652832	-0.22734294831752777	-0.0402989462018013	0.1108078733086586	-14.739894627646613	0.5905788638438698	2.041358373330464	0.04570063475257477	-3.322839679220331	-25.276804431229735	18.2456671438038
ACH-000959	-1.9140067100524902	-0.5880904793739319	-0.04489361494779587	0.12166964262723923	2.045324693132237	-5.221607097045432	1.064014809485647	2.5813248777635467	-4.001628080030317	-26.592667711662912	4.33383188362302
ACH-000986	-1.5446308851242065	-0.7174509167671204	-0.04196483641862869	0.12291287630796432	1.219856957825755	7.820433878583158	-10.614809397947663	-5.872477419763397	-0.024692328902197944	-3.3380444253233783	-17.49884948969867
ACH-000421	-0.5289337635040283	-0.6073265075683594	-0.04057765379548073	0.10342798754572868	-13.42691899662626	-6.012834867091554	-6.125013273524904	-4.491179443415842	-8.900200573485838	17.775996226790184	4.97300685957536
ACH-000943	-1.8505655527114868	-0.6275063157081604	-0.04294659569859505	0.09248033165931702	11.049366767814915	-7.860361668606895	-1.4592874648132295	-1.7623710286318626	-9.278451500883534	-14.011853400446814	7.773882396255036
ACH-000963	-0.9206153154373169	-0.4841110408306122	-0.05460217036306858	0.17216380313038826	-18.361899084782884	4.278355360182754	2.7126386954147894	9.713876680244347	-9.185153237359794	-1.4747968444283117	1.5642190391203954
ACH-001399	-2.851562738418579	-0.2736217975616455	-0.042372699826955795	0.12681733444333076	-4.647926181932859	-0.7556703608047469	5.818564406850389	-3.4405946665651226	-0.09883338774414772	-30.52727474340596	13.080910681259695
ACH-001460	-1.5979588031768799	-0.6859070062637329	-0.041625600308179855	0.13974997773766518	4.275806996637337	1.8081942047543844	7.141441050564805	-4.252022064977496	0.63692242631588	-8.966148495498782	-24.228639047484208
ACH-001786	-0.5240986347198486	-0.238075390458107	-0.056740786880254745	0.14966535940766335	-8.77725051387886	-4.573411366054854	9.240428371761283	6.913217173142551	1.125898772608241	11.370317604293355	3.0608314020564436
ACH-000252	-2.5256800651550293	-0.465026319026947	-0.04323756694793701	0.15194546431303024	-8.524481693978927	5.668209693059939	-0.5263410985552673	-2.602925393259962	-8.4652888949005	-26.96192589928354	14.129204248546955
ACH-000470	-0.5586099028587341	-0.3071592450141907	-0.04067946597933769	0.13764982298016548	-7.278123883225823	-2.821271414237293	6.2040423197278285	-4.40461553126014	4.077787744512685	13.559069515189485	10.012403771725417
ACH-000683	-0.42066290974617004	-0.4574923813343048	-0.03792915120720863	0.10662227496504784	-6.3675338464937195	-7.454024506126843	6.974098628508151	0.4170709377087617	-2.0912208977365756	16.99326873623348	8.52108476613067
ACH-000926	-1.7817314863204956	-0.14124596118927002	-0.04120669513940811	0.13342741876840591	-2.2640916013294623	-0.047668106139552094	5.344081069578456	1.4892469329250728	-5.659185664774952	-22.44699882897072	31.404520273378033
ACH-002664	-0.8622540831565857	-0.5919911861419678	-0.04346275329589844	0.09547537565231323	5.895384047284097	-8.517643779980052	-0.31866222541915545	-1.8625866891538316	-4.255388124460443	17.30631218146734	4.1281413797706605
ACH-000249	-0.7004185914993286	-0.5911971926689148	-0.042542677372694016	0.1563328243792057	-1.6736416388270179	2.569864674164732	4.252366060509022	-7.41338766204504	-0.392986861684035	19.689846165922077	-8.323515503078184
ACH-000286	-0.9082692861557007	-0.33656513690948486	-0.044349733740091324	0.14875103160738945	-4.414743997201609	-3.00715829504459	3.465667068091698	-5.374554943511284	3.3771607411554174	8.43496830864921	10.39856409107017
ACH-000501	-1.3693517446517944	-0.3145485818386078	-0.041378166526556015	0.19921572878956795	-13.0455400270043	6.135915795130209	0.8531596906557701	-2.673279114982431	4.887735524057858	-18.1967990025785	14.255654372256657
ACH-000957	-0.9517183303833008	-0.7190423011779785	-0.042939309030771255	0.12847526744008064	9.489600262744895	2.685509498710878	-0.27949973115546234	2.52215745541679	-5.528797726006008	15.08049677924383	-12.751509656069288
ACH-001461	-0.7163938283920288	-0.36590102314949036	-0.04850659519433975	0.14882949739694595	-18.475737902835363	11.22597855418249	-3.6918270024568467	3.4037629857546965	-1.8229662027005056	9.327518148261781	1.8378843017551247
ACH-000565	-1.1951228380203247	-0.14911645650863647	-0.04225844144821167	0.17012128233909607	-6.258259974548685	5.1109272230417995	6.838859348791011	-10.543754267725097	4.101249163670592	-0.12868713211194915	12.060649640945911
ACH-000651	-1.970665693283081	-0.6072413921356201	-0.04054403863847256	0.11951518803834915	7.506458046883813	-6.46607093271088	-1.2777080597344326	-0.39454523762356586	-11.710654166754946	-21.023590546185083	19.261706071066783
ACH-000820	-1.1639835834503174	-0.3036983907222748	-0.043416500091552734	0.1664353311061859	-0.2914418376785652	3.9502953224851733	-4.743156798532885	0.5311742465921641	0.8913381487880796	-4.179968573073872	31.003605210456392
ACH-000202	-1.0040221214294434	-0.4759204685688019	-0.04889628291130066	0.1765487790107727	1.0074603632641228	6.807738165307203	-14.555486852735994	-5.204834206883524	3.9442440723188	7.458245109489823	18.38409210604206
ACH-000253	-1.5192962884902954	-0.5162611603736877	-0.04218253120779991	0.10716776922345161	-0.5878688477384191	-0.7963846258048666	-4.386042684693801	1.7509334336493136	-4.215209161735832	-11.35767030795028	11.230164147733149
ACH-000532	-1.0082472562789917	-0.3118360638618469	-0.043243519961833954	0.11175399273633957	-3.990787024243078	-3.6603458535291815	5.233600886030728	-5.816107758491552	-2.2631933643313156	5.8439991529748845	11.85848015864962
ACH-000969	-2.9491262435913086	-0.8979355096817017	-0.04298543557524681	0.12339962646365166	-9.323205111522352	1.4406063702391383	-2.697294366960406	-2.0108710473508924	-7.752200972434863	-30.312755731953438	-23.832338839718886
ACH-002662	-1.720587134361267	-0.4283989369869232	-0.042313702404499054	0.15569861978292465	5.064636186528251	4.666327337419861	4.243347159413373	-7.485092313075295	4.192921377944878	-11.164844244770343	4.361426575294651
ACH-000007	-1.237926721572876	-0.6141768097877502	-0.043220654129981995	0.13566767424345016	5.9326314898255355	4.931495875484895	3.9772289356765813	7.211915614341819	-6.488088586656961	-1.262156558013885	-5.471488302178276
ACH-000970	-0.25435173511505127	-0.9145078063011169	-0.042826537042856216	0.12574398890137672	-1.5498380647636163	-4.154116720367102	-2.0256295987919537	-1.0791757238549968	-5.842084000841277	28.435303742162887	-17.36198938803335
ACH-000971	-1.598450779914856	-0.6930514574050903	-0.04369869455695152	0.13211337104439735	1.9504187184822697	-0.8573243013225036	0.6136319526871565	8.458014583246323	-7.497348207082859	-18.656680927949424	-4.798511547314888
ACH-000991	-0.34527674317359924	-0.6825072169303894	-0.039680227637290955	0.15718933939933777	-3.139714512407351	0.11585510377241405	1.131703156300099	-4.870280415280803	-2.521560548474176	25.510520246877327	-7.787017716935178
ACH-002024	-0.7861794233322144	-0.7121677398681641	-0.04839229956269264	0.1659821979701519	-0.7814059918805858	3.729501064296321	-7.094352949742538	-3.3261010570357588	0.6006023452254374	15.802212979963581	-15.174094361276147
ACH-002538	-0.6655759215354919	-0.7395029067993164	-0.042419690638780594	0.12013667449355125	2.647703965924569	-3.715044013859649	4.545965005816059	-0.03198158522818732	-3.2043473192442433	17.91215147393777	-23.02105211102867
ACH-000350	-0.3620161712169647	-0.4948071837425232	-0.03886479139328003	0.1407424360513687	-18.58714405066798	7.386283777644147	6.5806856580255175	7.594932448559647	-7.485210721356551	14.231039201483533	-0.923433090302197
ACH-000467	-1.6721538305282593	-0.5018531680107117	-0.041922103613615036	0.12653924897313118	-1.8832967624970782	-0.7271226290986358	2.3647337225213367	-2.2628303743013585	-4.12848870502183	-15.431536120462649	6.811353624889815
