pathway,size,ES,NES,p_value,FDR_BH
HALLMARK_ADIPOGENESIS,184,-0.24455955511514568,-1.2307090193960224,0.06575963718820861,0.4909180166912126
HALLMARK_DNA_REPAIR,143,-0.2690558587877399,-1.3011727693917963,0.04313543599257885,0.4909180166912126
HALLMARK_HYPOXIA,187,0.2547618147089212,1.2485244878545438,0.06464146944542565,0.4909180166912126
HALLMARK_G2M_CHECKPOINT,179,0.26017814422787006,1.269107888107334,0.05567300916138125,0.4909180166912126
HALLMARK_MYC_TARGETS_V1,171,0.26035831295323375,1.2600741685192685,0.06392536281962681,0.4909180166912126
HALLMARK_KRAS_SIGNALING_UP,190,0.25394562992412784,1.252716826479764,0.06872852233676977,0.4909180166912126
HALLMARK_NOTCH_SIGNALING,29,0.4225662855634899,1.4562502980508032,0.05456529647144416,0.4909180166912126
HALLMARK_PANCREAS_BETA_CELLS,37,-0.36350029464045774,-1.3623062586822263,0.07947855340622371,0.49674095878889823
HALLMARK_APICAL_JUNCTION,188,0.23666183291852785,1.1583372779804348,0.14211257817929118,0.719506624029237
HALLMARK_ALLOGRAFT_REJECTION,183,-0.22766835164285423,-1.1469102477423845,0.1439013248058474,0.719506624029237
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,194,-0.21463176040306048,-1.0874916142398343,0.25221858944418496,0.7342459435663075
HALLMARK_E2F_TARGETS,181,-0.19603835691557578,-0.9848267848629387,0.4951276102088167,0.7342459435663075
HALLMARK_BILE_ACID_METABOLISM,109,0.23638080530152084,1.0738936430972748,0.30415913200723327,0.7342459435663075
HALLMARK_APOPTOSIS,154,-0.21848986861954892,-1.0673605142651765,0.28927563499529635,0.7342459435663075
HALLMARK_INFLAMMATORY_RESPONSE,196,0.20673279829072647,1.0157784828628957,0.4154488517745303,0.7342459435663075
HALLMARK_IL2_STAT5_SIGNALING,191,0.19954468847312287,0.9821977276389612,0.49733380732314253,0.7342459435663075
HALLMARK_MITOTIC_SPINDLE,190,-0.19951229824021485,-1.0073730917712251,0.43273753527751646,0.7342459435663075
HALLMARK_KRAS_SIGNALING_DN,187,-0.22086032599519365,-1.1117273125519913,0.20510483135824978,0.7342459435663075
HALLMARK_INTERFERON_ALPHA_RESPONSE,92,0.24680675809067748,1.0782985439718198,0.30597552195824335,0.7342459435663075
HALLMARK_GLYCOLYSIS,188,0.22835838152863414,1.1180993636466088,0.20738440303657696,0.7342459435663075
HALLMARK_HEME_METABOLISM,176,0.20190049066797536,0.9809111223364011,0.4992872416250891,0.7342459435663075
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,98,0.2308043197453128,1.027847507267222,0.39517291066282423,0.7342459435663075
