compartment	gene	mean_log2_cpm	sd_log2_cpm	patients_detected	invariant_zero_contribution
whole_tumour	CD4	3.944949610370445	1.4221897713098708	23	False
whole_tumour	PTPRC	6.042009042896673	1.4569697528959435	23	False
whole_tumour	CTLA4	2.9941189575948925	1.4303974168450326	23	False
whole_tumour	PDCD1	2.4189771416788073	1.3797626618075816	23	False
whole_tumour	HAVCR2	3.4210468086236414	1.4610850880204604	23	False
whole_tumour	VSIR	5.184017980831169	0.792064374208681	23	False
whole_tumour	LAG3	3.8763427710616267	1.3353099236173516	23	False
whole_tumour	CD38	3.3577432863330317	1.655438559026447	23	False
epithelial	CD4	-0.08761048731404662	0.865970747747783	22	False
epithelial	PTPRC	1.427436811319835	1.2675442335747529	23	False
epithelial	CTLA4	-0.3838770294832408	0.8474049435673142	22	False
epithelial	PDCD1	-1.0127486400624044	0.5187888718022068	22	False
epithelial	HAVCR2	-0.8645413468393649	0.6226915948935885	22	False
epithelial	VSIR	3.596845545910311	1.4417125571301508	22	False
epithelial	LAG3	0.6153961468175028	1.0439202629956479	22	False
epithelial	CD38	-0.6116462615954529	1.0270387493527953	18	False
