set	gene
CMScaller_CMS4_template	RUNX2
CMScaller_CMS4_template	RGS4
CMScaller_CMS4_template	FAM198B
CMScaller_CMS4_template	SYNC
CMScaller_CMS4_template	SMO
CMScaller_CMS4_template	SLC2A3
CMScaller_CMS4_template	CADM1
CMScaller_CMS4_template	HDGFRP3
CMScaller_CMS4_template	CRMP1
CMScaller_CMS4_template	HSPG2
CMScaller_CMS4_template	PMEPA1
CMScaller_CMS4_template	WWC2
CMScaller_CMS4_template	SORBS1
CMScaller_CMS4_template	PLAU
CMScaller_CMS4_template	GPC1
CMScaller_CMS4_template	LARP6
CMScaller_CMS4_template	PHLDA3
CMScaller_CMS4_template	NAV3
CMScaller_CMS4_template	OBSL1
CMScaller_CMS4_template	LEF1
CMScaller_CMS4_template	PAPPA
CMScaller_CMS4_template	SEMA7A
CMScaller_CMS4_template	FAM127A
CMScaller_CMS4_template	AMIGO2
CMScaller_CMS4_template	DMD
CMScaller_CMS4_template	FLNC
CMScaller_CMS4_template	WASF3
CMScaller_CMS4_template	FKBP10
CMScaller_CMS4_template	AHNAK2
CMScaller_CMS4_template	MPP1
CMScaller_CMS4_template	CALB2
CMScaller_CMS4_template	CRABP2
CMScaller_CMS4_template	CDIP1
CMScaller_CMS4_template	QPRT
CMScaller_CMS4_template	RBP1
CMScaller_CMS4_template	FST
CMScaller_CMS4_template	TGFB2
CMScaller_CMS4_template	L1CAM
CMScaller_CMS4_template	SRPX2
CMScaller_CMS4_template	PLTP
CMScaller_CMS4_template	STRA6
CMScaller_CMS4_template	FAM155A
CMScaller_CMS4_template	HDAC9
CMScaller_CMS4_template	S100A4
CMScaller_CMS4_template	ID4
CMScaller_CMS4_template	CST6
CMScaller_CMS4_template	PCDHGB6
CMScaller_CMS4_template	SCG2
CMScaller_CMS4_template	CST1
CMScaller_CMS4_template	NRXN3
CMScaller_CMS4_template	STMN3
CMScaller_CMS4_template	LY6G6D
CMScaller_CMS4_template	CACNG4
CMScaller_CMS4_template	IFIT1
CMScaller_CMS4_template	AP3B2
CMScaller_CMS4_template	FADS2
CMScaller_CMS4_template	GNG4
CMScaller_CMS4_template	MME
CMScaller_CMS4_template	C2orf54
CMScaller_CMS4_template	SCN5A
CMScaller_CMS4_template	PCDHGB5
CMScaller_CMS4_template	WNT11
CMScaller_CMS4_template	KRT17
CMScaller_CMS4_template	UPK2
CMScaller_CMS4_template	CYP2B6
CMScaller_CMS4_template	PTPRO
CMScaller_CMS4_template	EEF1A2
CMScaller_CMS4_template	DRD2
CMScaller_CMS4_template	CEL
CMScaller_CMS4_template	ACSL6
CMScaller_CMS4_template	CYP24A1
CMScaller_CMS4_template	DKK1
CMScaller_CMS4_template	EREG
CMScaller_CMS4_template	KRT23
CMScaller_EMT	COL3A1
CMScaller_EMT	COL5A2
CMScaller_EMT	COL5A1
CMScaller_EMT	FBN1
CMScaller_EMT	COL1A1
CMScaller_EMT	FN1
CMScaller_EMT	COL6A3
