variable_1	variable_2	n	spearman_rho	p_two_sided
module_all	T_cell_fraction_all	62	0.7665130568356375	3.82938496771429e-13
module_all	stromal_fraction_all	62	-0.23164866157991487	0.07004620542876752
module_all	module_TNKILC	62	0.36606985470020903	0.003432630829722882
module_Epi	T_cell_fraction_all	62	0.5198307773664729	1.4915282021681297e-05
module_Epi	stromal_fraction_all	62	-0.01306942660723729	0.9196943520853331
module_Epi	module_TNKILC	62	0.282667271033215	0.02601151390265349
