analysis	compartment	n	rho	rho_ci95_low_bootstrap	rho_ci95_high_bootstrap	p_two_sided	adjustment	FDR_BH_within_four_primary_unadjusted
module_vs_TGFb	all	62	0.40782151041273207	0.17089528849323202	0.6171553246452455	0.0010013704637783479	none	0.0040054818551133915
module_vs_TGFb	all	62	0.5067651270438525			2.635441817008083e-05	rank residuals controlling T-cell and stromal fractions	
module_vs_EMT	all	62	0.14174913751857168	-0.12315235749355252	0.39578106329486634	0.27177689125888255	none	0.27177689125888255
module_vs_EMT	all	62	0.4488958747733529			0.0002527201568347354	rank residuals controlling T-cell and stromal fractions	
module_vs_TGFb	Epi	62	0.22051824431517716	-0.0494360586925588	0.4650068902727077	0.08501561118725999	none	0.11335414824967999
module_vs_EMT	Epi	62	0.3555941678628088	0.09900681107180456	0.5796101167331453	0.00456381121396743	none	0.00912762242793486
