analysis	group1	group2	n_group1	n_group2	median_group1	median_group2	median_difference	mannwhitney_u	rank_biserial_group1_gt_group2	p_two_sided	FDR_BH_all_group_tests
MMR_T_cell_fraction	MMRd	MMRp	34	28	0.2587874252365455	0.16692192587473698	0.09186549936180854	671.0	0.4096638655462186	0.005937816333359882	0.013854904777839724
MMR_exhausted_author_label_fraction	MMRd	MMRp	34	28	0.4046370101692558	0.06131329113924051	0.3433237190300153	830.0	0.7436974789915967	5.725748239059384e-07	4.008023767341569e-06
MMR_exhaustion_expression_sensitivity	MMRd	MMRp	34	28	0.4807048616822721	-0.6340573249397152	1.1147621866219874	743.0	0.5609243697478992	0.00016348767492248143	0.000572206862228685
CMS4_enrichment_module_all_raw_call	CMS4	CMS1-3	8	54	0.03132280664350412	0.09225788000859239	-0.06093507336508827	179.0	-0.17129629629629628	0.450636609883253	0.7886140672956927
CMS4_enrichment_module_all_FDR05_call	CMS4	CMS1-3	7	42	0.08214095202714095	0.0016346750950857183	0.08050627693205523	154.0	0.04761904761904767	0.8558705724282387	0.9443176777471036
CMS4_enrichment_module_Epi_raw_call	CMS4	CMS1-3	8	54	-0.044006144699189384	0.024142501443076343	-0.06814864614226573	198.0	-0.08333333333333337	0.7183457032306046	0.9443176777471036
CMS4_enrichment_module_Epi_FDR05_call	CMS4	CMS1-3	7	42	0.19240129153739063	0.09787291423875025	0.09452837729864039	150.0	0.020408163265306145	0.9443176777471036	0.9443176777471036
