k	reps_valid	observed_rho	observed_asymptotic_p	observed_bootstrap_ci95_low	observed_bootstrap_ci95_high	null_median	null_ci95_low	null_ci95_high	observed_percentile	empirical_p_one_sided	empirical_p_two_sided	null_z
25	10000	0.767218151142001	3.5362688996554015e-13	0.6208761225415709	0.8605789199794162	0.7758303744554406	0.6816952481680139	0.846793080003022	42.14	0.5791420857914209	0.5791420857914209	-0.1328742973895472
50	10000	0.767218151142001	3.5362688996554015e-13	0.6208761225415709	0.8605789199794162	0.7661605096824557	0.6682531288559845	0.842917579511974	50.78	0.49265073492650735	0.49265073492650735	0.0847832934040954
100	10000	0.767218151142001	3.5362688996554015e-13	0.6208761225415709	0.8605789199794162	0.752461534587394	0.6335020523280703	0.8424126816247388	61.3	0.38766123387661233	0.38766123387661233	0.34715081734207126
