k	target_gene	candidate_gene	rank	distance
25	PTPRC	UCP2	20	1.1382311877862412
25	PTPRC	STK4	21	1.1465761377010735
25	PTPRC	LTB	22	1.1579172361540666
25	PTPRC	IL7R	23	1.1912488191638093
25	PTPRC	STK17B	24	1.1956493355291624
25	PTPRC	ISG20	25	1.2095681495949633
25	PTPRC	CELF2	26	1.2237602360241064
25	PTPRC	RGS10	27	1.2277511215609958
25	PTPRC	LEPROTL1	28	1.2379483699696463
25	PTPRC	CRIP1	29	1.2472884386152157
25	PTPRC	ANKRD12	30	1.2688135023422284
25	PTPRC	FYB1	31	1.28971161167173
25	PTPRC	CD37	32	1.293603526151529
25	PTPRC	HLA-F	33	1.3283980784997849
25	PTPRC	AKAP13	34	1.3292747696108713
25	PTPRC	PPP2R5C	35	1.3314356588741398
25	PTPRC	PPP1R2	36	1.3406928312775952
25	PTPRC	RGS2	37	1.3458606725402391
25	PTPRC	DUSP4	38	1.3723584027350555
25	PTPRC	MBNL1	39	1.3838241579511694
25	PTPRC	C9orf142	40	1.3840329026969769
25	PTPRC	OSTF1	41	1.38783012426056
25	PTPRC	CARD16	42	1.395236724385577
25	PTPRC	VAMP2	43	1.4006098313441575
25	PTPRC	CYTIP	44	1.404020974999539
25	PTPRC	IRF1	45	1.4305460744355527
25	PTPRC	CDC42SE2	46	1.4441676633877036
25	PTPRC	JAK1	47	1.4443624886389854
25	PTPRC	ANKRD28	48	1.4508703594762395
25	PTPRC	XIST	49	1.4583599613715308
25	PTPRC	PRDM1	50	1.4595137953283994
25	PTPRC	PDCD4	51	1.4670803797605447
25	PTPRC	NAP1L4	52	1.4763339399670632
25	PTPRC	TERF2IP	53	1.4881049067749874
25	PTPRC	GZMB	54	1.5070954129452692
25	PTPRC	CITED2	55	1.5081987765186322
25	PTPRC	STAT3	56	1.5158254600201622
25	PTPRC	RAP1A	57	1.51693274505873
25	PTPRC	ADGRE5	58	1.5236490908130966
25	PTPRC	CFLAR	59	1.5309026752716375
25	PTPRC	KLF2	60	1.5321801262560713
25	PTPRC	RP11-640M9.1	61	1.5449507889227483
25	PTPRC	CHMP4A	62	1.5450603378016512
25	PTPRC	TUBA4A	63	1.547041641452768
25	PTPRC	DDX24	64	1.5552080297588677
25	PTPRC	SP100	65	1.5565077565584042
25	PTPRC	ELF1	66	1.5658584089285885
25	PTPRC	BUB3	67	1.5668061267316973
25	PTPRC	PCSK7	68	1.5842601264708158
25	PTPRC	G3BP2	69	1.5908027159502764
25	PTPRC	RHOG	70	1.6041853434599154
25	PTPRC	SEPT9	71	1.6078375328940215
25	PTPRC	PMAIP1	72	1.6092524229816085
25	PTPRC	GPR183	73	1.6152495505162239
25	PTPRC	MRPS6	74	1.6218355344532822
25	PTPRC	RNF213	75	1.6310722848049435
25	PTPRC	UBE2L6	76	1.63144575015857
25	PTPRC	SAMSN1	77	1.631960906804353
25	PTPRC	SH3KBP1	78	1.6333332736323725
25	PTPRC	ARID4B	79	1.6350911583854797
25	PTPRC	TUBA1A	80	1.6377766556344233
25	PTPRC	KIAA1551	81	1.6380609753798423
25	PTPRC	SH3BGRL	82	1.638953150092889
25	PTPRC	PRPF38B	83	1.6407040300928768
25	PTPRC	EVL	84	1.6418676883427477
25	PTPRC	TAP1	85	1.6456895031925893
25	PTPRC	STK17A	86	1.645870741411778
25	PTPRC	FAM49B	87	1.6459583399661089
25	PTPRC	IFI27L2	88	1.6474043617406111
25	PTPRC	SMC4	89	1.6516097251027846
25	PTPRC	RSRP1	90	1.653171426669855
25	PTPRC	CD48	91	1.653816509252646
25	PTPRC	GPBP1	92	1.6539089671717189
25	PTPRC	TNRC6B	93	1.668694594233908
25	PTPRC	PHLDA1	94	1.669413326004375
25	PTPRC	TLN1	95	1.6750767637692876
