gene,n,median_LFC,mean_LFC,q1_LFC,q3_LFC,pct_depleted,rank_most_dependent,percentile_most_dependent
EIF2S1,85,-1.68810370060551,-1.686666310812074,-1.93692346882421,-1.4425918224273,96.47058823529412,56,99.66789445081818
SNRPD1,85,-1.68455849134574,-1.7039824872101565,-1.8959819732852,-1.47189885869804,98.82352941176471,57,99.66185616810579
SNRPD3,85,-1.67098465106532,-1.6790361380410157,-1.86991866227124,-1.44886749029403,97.6470588235294,58,99.65581788539339
POLE2,85,-1.66461931749743,-1.6900247537470456,-1.98584367997905,-1.39743757888498,94.11764705882352,59,99.649779602681
SMC4,85,-1.66404792108543,-1.6997042324534415,-1.89371747623537,-1.43739895814505,98.82352941176471,60,99.6437413199686
RPA2,85,-1.6637240483151,-1.6744815317352908,-1.87016695400199,-1.48782332566857,95.29411764705881,61,99.63770303725622
DDX23,85,-1.66250552558284,-1.68663602185841,-1.92157192311627,-1.40457317385055,96.47058823529412,62,99.6316647545438
RPL32,85,-1.65167373293021,-1.676901621528526,-1.99947893528108,-1.39755357928084,92.94117647058823,63,99.62562647183141
POLR2C,85,-1.64670665075732,-1.6677353300868607,-1.89122235244853,-1.47158311329562,95.29411764705881,64,99.61958818911901
DHDDS,85,-1.64653163269088,-1.638088899093448,-1.78021939569209,-1.43946317679609,98.82352941176471,65,99.61354990640662
RBM25,85,-1.64371118650642,-1.5921735026961454,-1.83513994662719,-1.35114348355061,92.94117647058823,66,99.60751162369422
MASTL,85,-1.64140880546766,-1.7027922505420914,-1.95017962848444,-1.41462986654525,95.29411764705881,67,99.60147334098183
PSMD7,85,-1.63531057878217,-1.608548861181921,-1.8667068568911,-1.42256068457402,94.11764705882352,68,99.59543505826943
RPA1,85,-1.63508289178703,-1.6223835179131536,-1.88561009527432,-1.39827735715735,97.6470588235294,69,99.58939677555702
MAD2L1,85,-1.63360835090974,-1.627694316114506,-1.84280388701183,-1.37921448842687,96.47058823529412,70,99.58335849284464
MAT2A,85,-1.62982474912801,-1.580766511967906,-1.92571819302506,-1.37554571052102,94.11764705882352,71,99.57732021013224
COPB2,85,-1.62908896186144,-1.612966143620019,-1.90196712826797,-1.27388916244809,90.58823529411765,72,99.57128192741985
SDE2,85,-1.62658575505147,-1.6252630012022524,-1.78566750420845,-1.36686813674223,96.47058823529412,73,99.56524364470745
CARS1,85,-1.61822496593212,-1.6782983151405244,-1.87153512094534,-1.37673144062678,100.0,74,99.55920536199505
PSMC4,85,-1.61741969623811,-1.558044939532496,-1.78317340138182,-1.26996076245737,96.47058823529412,75,99.55316707928266
PSMA4,85,-1.60733975845287,-1.6261916185479381,-1.85743302541163,-1.42495301248238,97.6470588235294,76,99.54712879657025
PRIM1,85,-1.59776791733105,-1.5768844091556018,-1.81916671814714,-1.3764801574046,96.47058823529412,77,99.54109051385785
NDC80,85,-1.5972721407462,-1.569495767624814,-1.75297785001649,-1.3119746931487,95.29411764705881,78,99.53505223114546
PLRG1,85,-1.59066713308299,-1.5602678069129945,-1.82301941346556,-1.37548816273548,95.29411764705881,79,99.52901394843306
ORC1,85,-1.58563270025552,-1.5669738754144589,-1.83261629765343,-1.29926736730653,94.11764705882352,80,99.52297566572067
MCM2,85,-1.57539786886531,-1.5554705253504548,-1.73960679975915,-1.34157205834809,96.47058823529412,81,99.51693738300827
SF3B4,85,-1.57292664594592,-1.6068675504354615,-1.86038337589406,-1.39000251633478,98.82352941176471,82,99.51089910029587
PRPF38A,85,-1.57263686968342,-1.6486803018002567,-2.02291403832035,-1.25432793309153,96.47058823529412,83,99.50486081758348
WTAP,85,-1.57201798391508,-1.5812910621617307,-1.77634472114516,-1.30090960879328,95.29411764705881,84,99.49882253487108
CDK1,85,-1.57169338274317,-1.6265205363646387,-1.87193697550731,-1.35398115204222,95.29411764705881,85,99.49278425215869
HMGCS1,85,-1.56862880101843,-1.600153724949552,-1.84088616240883,-1.34349095739168,92.94117647058823,86,99.48674596944629
SNRPB,85,-1.56354189904566,-1.5585596273022,-1.78515885925793,-1.3540495378446,95.29411764705881,87,99.4807076867339
U2AF2,85,-1.56105575496023,-1.5446033903153311,-1.79084368173242,-1.3340863889824,94.11764705882352,88,99.4746694040215
SRSF7,85,-1.55752101011269,-1.549547073634778,-1.80985467203601,-1.28372362260814,94.11764705882352,89,99.4686311213091
LSM2,85,-1.55435081009958,-1.5499584211172543,-1.82143800570683,-1.28525828568303,92.94117647058823,90,99.4625928385967
USP39,85,-1.5529849316041,-1.577002454827909,-1.80628571153293,-1.3472839236831,97.6470588235294,91,99.4565545558843
